,Ingest (Low) [],RCAL (Low) [],FastImg (Low) [],ICAL (Low) [],DPrepA (Low) [],DPrepA_Image (Low) [],DPrepB (Low) [],DPrepC (Low) [],DPrepD (Low) [],Ingest (Mid1) [],RCAL (Mid1) [],FastImg (Mid1) [],ICAL (Mid1) [],DPrepA (Mid1) [],DPrepA_Image (Mid1) [],DPrepB (Mid1) [],DPrepC (Mid1) [],DPrepD (Mid1) [],Ingest (Mid5b) [],RCAL (Mid5b) [],FastImg (Mid5b) [],ICAL (Mid5b) [],DPrepA (Mid5b) [],DPrepA_Image (Mid5b) [],DPrepB (Mid5b) [],DPrepC (Mid5b) [],DPrepD (Mid5b) [],Ingest (Mid5a) [],RCAL (Mid5a) [],FastImg (Mid5a) [],ICAL (Mid5a) [],DPrepA (Mid5a) [],DPrepA_Image (Mid5a) [],DPrepB (Mid5a) [],DPrepC (Mid5a) [],DPrepD (Mid5a) [],Ingest (Mid2) [],RCAL (Mid2) [],FastImg (Mid2) [],ICAL (Mid2) [],DPrepA (Mid2) [],DPrepA_Image (Mid2) [],DPrepB (Mid2) [],DPrepC (Mid2) [],DPrepD (Mid2) []
Grid side dimension [lambda],72668.06529245574,72668.06529245574,43600.83917547343,72668.06529245574,72668.06529245574,72668.06529245574,72668.06529245574,72668.06529245574,72668.06529245574,1004497.2720443411,1004497.2720443411,602698.3632266046,1004497.2720443411,1004497.2720443411,1004497.2720443411,1004497.2720443411,1004497.2720443411,1004497.2720443411,19942068.437974643,19942068.437974643,11965241.062784787,19942068.437974643,19942068.437974643,19942068.437974643,19942068.437974643,19942068.437974643,19942068.437974643,11028800.338618262,11028800.338618262,6617280.203170958,11028800.338618262,11028800.338618262,11028800.338618262,11028800.338618262,11028800.338618262,11028800.338618262,2280750.557647197,2280750.557647197,1368450.3345883181,2280750.557647197,2280750.557647197,2280750.557647197,2280750.557647197,2280750.557647197,2280750.557647197
Baselines dimension [lambda],43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,602698.3632266046,602698.3632266046,602698.3632266046,602698.3632266046,602698.3632266046,602698.3632266046,602698.3632266046,602698.3632266046,602698.3632266046,11965241.062784787,11965241.062784787,11965241.062784787,11965241.062784787,11965241.062784787,11965241.062784787,11965241.062784787,11965241.062784787,11965241.062784787,6617280.203170958,6617280.203170958,6617280.203170958,6617280.203170958,6617280.203170958,6617280.203170958,6617280.203170958,6617280.203170958,6617280.203170958,1368450.3345883186,1368450.3345883186,1368450.3345883186,1368450.3345883186,1368450.3345883186,1368450.3345883186,1368450.3345883186,1368450.3345883186,1368450.3345883186
Epsilon (approx),0.6666666666666672,0.6666666666666672,0.342997170285018,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.342997170285018,0.4441757193189375,0.4441757193189375,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.24373333911071637,0.4441757193189375,0.4441757193189375,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.24373333911071637,0.4441757193189375,0.4441757193189375,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.24373333911071637,0.4441757193189375,0.4441757193189375,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.24373333911071637
Qbw,2.2049999999999983,2.2049999999999983,4.285749642711291,2.2049999999999983,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,4.285749642711291,3.309501028678418,3.309501028678418,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,6.031181476294671,3.309501028678418,3.309501028678418,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,6.031181476294671,3.309501028678418,3.309501028678418,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,6.031181476294671,3.309501028678418,3.309501028678418,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,6.031181476294671
Max subband ratio,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35
Number subbands,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Station/antenna diameter,35,35,35,35,35,35,35,35,35,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
-- Time Coalescing --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ionospheric timescale [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Coalesce time full0 [s],27.900000000000002,9.9,14.4,9.9,27.900000000000002,27.900000000000002,27.900000000000002,14.4,14.4,5.74,2.1,4.48,2.1,5.74,5.74,5.74,3.22,3.22,6.0200000000000005,2.24,4.62,2.24,6.0200000000000005,6.0200000000000005,6.0200000000000005,3.22,3.22,6.0200000000000005,2.24,4.62,2.24,6.0200000000000005,6.0200000000000005,6.0200000000000005,3.22,3.22,6.0200000000000005,2.24,4.62,2.24,6.0200000000000005,6.0200000000000005,6.0200000000000005,3.22,3.22
Coalesce time full1 [s],13.5,4.5,7.2,4.5,13.5,13.5,13.5,7.2,7.2,3.7800000000000002,1.4000000000000001,2.9400000000000004,1.4000000000000001,3.7800000000000002,3.7800000000000002,3.7800000000000002,2.1,2.1,3.9200000000000004,1.4000000000000001,3.08,1.4000000000000001,3.9200000000000004,3.9200000000000004,3.9200000000000004,2.1,2.1,3.9200000000000004,1.4000000000000001,3.08,1.4000000000000001,3.9200000000000004,3.9200000000000004,3.9200000000000004,2.1,2.1,3.9200000000000004,1.4000000000000001,3.08,1.4000000000000001,3.9200000000000004,3.9200000000000004,3.9200000000000004,2.1,2.1
Coalesce time full2 [s],6.3,1.8,3.6,1.8,6.3,6.3,6.3,3.6,3.6,2.8000000000000003,0.9800000000000001,2.24,0.9800000000000001,2.8000000000000003,2.8000000000000003,2.8000000000000003,1.54,1.54,2.9400000000000004,1.12,2.24,1.12,2.9400000000000004,2.9400000000000004,2.9400000000000004,1.54,1.54,2.9400000000000004,1.12,2.24,1.12,2.9400000000000004,2.9400000000000004,2.9400000000000004,1.54,1.54,2.9400000000000004,1.12,2.24,1.12,2.9400000000000004,2.9400000000000004,2.9400000000000004,1.54,1.54
Coalesce time full3 [s],2.7,0.9,1.8,0.9,2.7,2.7,2.7,1.8,1.8,1.8200000000000003,0.7000000000000001,1.4000000000000001,0.7000000000000001,1.8200000000000003,1.8200000000000003,1.8200000000000003,0.9800000000000001,0.9800000000000001,1.9600000000000002,0.7000000000000001,1.54,0.7000000000000001,1.9600000000000002,1.9600000000000002,1.9600000000000002,0.9800000000000001,0.9800000000000001,1.9600000000000002,0.7000000000000001,1.54,0.7000000000000001,1.9600000000000002,1.9600000000000002,1.9600000000000002,0.9800000000000001,0.9800000000000001,1.9600000000000002,0.7000000000000001,1.54,0.7000000000000001,1.9600000000000002,1.9600000000000002,1.9600000000000002,0.9800000000000001,0.9800000000000001
Coalesce time full4 [s],0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.12,0.42000000000000004,0.8400000000000001,0.42000000000000004,1.12,1.12,1.12,0.56,0.56,1.12,0.42000000000000004,0.8400000000000001,0.42000000000000004,1.12,1.12,1.12,0.56,0.56,1.12,0.42000000000000004,0.8400000000000001,0.42000000000000004,1.12,1.12,1.12,0.56,0.56,1.12,0.42000000000000004,0.8400000000000001,0.42000000000000004,1.12,1.12,1.12,0.56,0.56
Coalesce time full5 [s],,,,,,,,,,0.7000000000000001,0.28,0.56,0.28,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.42000000000000004,0.42000000000000004,0.8400000000000001,0.28,0.56,0.28,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.42000000000000004,0.42000000000000004,0.8400000000000001,0.28,0.56,0.28,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.42000000000000004,0.42000000000000004,0.8400000000000001,0.28,0.56,0.28,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.42000000000000004,0.42000000000000004
Coalesce time full6 [s],,,,,,,,,,0.42000000000000004,0.14,0.28,0.14,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.28,0.28,0.42000000000000004,0.14,0.42000000000000004,0.14,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.28,0.28,0.42000000000000004,0.14,0.42000000000000004,0.14,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.28,0.28,0.42000000000000004,0.14,0.42000000000000004,0.14,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.28,0.28
Coalesce time full7 [s],,,,,,,,,,0.28,0.14,0.28,0.14,0.28,0.28,0.28,0.14,0.14,0.28,0.14,0.28,0.14,0.28,0.28,0.28,0.14,0.14,0.28,0.14,0.28,0.14,0.28,0.28,0.28,0.14,0.14,0.28,0.14,0.28,0.14,0.28,0.28,0.28,0.14,0.14
Coalesce time full8 [s],,,,,,,,,,0.28,0.14,0.14,0.14,0.28,0.28,0.28,0.14,0.14,0.28,0.14,0.14,0.14,0.28,0.28,0.28,0.14,0.14,0.28,0.14,0.14,0.14,0.28,0.28,0.28,0.14,0.14,0.28,0.14,0.14,0.14,0.28,0.28,0.28,0.14,0.14
Coalesce time full9 [s],,,,,,,,,,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
Coalesce time full10 [s],,,,,,,,,,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
Coalesce time full11 [s],,,,,,,,,,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
Coalesce time pred0 [s],(undefined),9.9,10.0,9.9,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,4.48,10.0,10.0,10.0,10.0,10.0,(undefined),(undefined),9.38,4.62,9.38,6.0200000000000005,6.0200000000000005,6.0200000000000005,3.22,(undefined),(undefined),9.38,4.62,9.38,6.0200000000000005,6.0200000000000005,6.0200000000000005,3.22,(undefined),(undefined),10.0,4.62,10.0,10.0,10.0,6.0200000000000005,8.260000000000002,(undefined)
Coalesce time pred1 [s],,4.5,7.2,4.5,10.0,10.0,10.0,7.2,,,10.0,2.9400000000000004,10.0,9.66,9.66,9.66,7.140000000000001,,,6.16,3.08,6.16,3.9200000000000004,3.9200000000000004,3.9200000000000004,2.1,,,6.16,3.08,6.16,3.9200000000000004,3.9200000000000004,3.9200000000000004,2.1,,,8.680000000000001,3.08,8.680000000000001,10.0,10.0,3.9200000000000004,5.460000000000001,
Coalesce time pred2 [s],,1.8,3.6,1.8,6.3,6.3,6.3,3.6,,,8.120000000000001,2.24,8.120000000000001,7.280000000000001,7.280000000000001,7.280000000000001,5.32,,,4.62,2.24,4.62,2.9400000000000004,2.9400000000000004,2.9400000000000004,1.54,,,4.62,2.24,4.62,2.9400000000000004,2.9400000000000004,2.9400000000000004,1.54,,,6.44,2.24,6.44,7.5600000000000005,7.5600000000000005,2.9400000000000004,4.0600000000000005,
Coalesce time pred3 [s],,0.9,1.8,0.9,2.7,2.7,2.7,1.8,,,5.32,1.4000000000000001,5.32,4.760000000000001,4.760000000000001,4.760000000000001,3.5000000000000004,,,3.08,1.54,3.08,1.9600000000000002,1.9600000000000002,1.9600000000000002,0.9800000000000001,,,3.08,1.54,3.08,1.9600000000000002,1.9600000000000002,1.9600000000000002,0.9800000000000001,,,4.340000000000001,1.54,4.340000000000001,5.040000000000001,5.040000000000001,1.9600000000000002,2.66,
Coalesce time pred4 [s],,0.9,0.9,0.9,0.9,0.9,0.9,0.9,,,3.22,0.8400000000000001,3.22,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.1,,,1.8200000000000003,0.8400000000000001,1.8200000000000003,1.12,1.12,1.12,0.56,,,1.8200000000000003,0.8400000000000001,1.8200000000000003,1.12,1.12,1.12,0.56,,,2.5200000000000005,0.8400000000000001,2.5200000000000005,2.9400000000000004,2.9400000000000004,1.12,1.54,
Coalesce time pred5 [s],,,,,,,,,,,2.24,0.56,2.24,1.9600000000000002,1.9600000000000002,1.9600000000000002,1.4000000000000001,,,1.2600000000000002,0.56,1.2600000000000002,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.42000000000000004,,,1.2600000000000002,0.56,1.2600000000000002,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.42000000000000004,,,1.8200000000000003,0.56,1.8200000000000003,2.1,2.1,0.8400000000000001,1.12,
Coalesce time pred6 [s],,,,,,,,,,,1.4000000000000001,0.28,1.4000000000000001,1.2600000000000002,1.2600000000000002,1.2600000000000002,0.8400000000000001,,,0.8400000000000001,0.42000000000000004,0.8400000000000001,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.28,,,0.8400000000000001,0.42000000000000004,0.8400000000000001,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.28,,,1.12,0.42000000000000004,1.12,1.2600000000000002,1.2600000000000002,0.42000000000000004,0.7000000000000001,
Coalesce time pred7 [s],,,,,,,,,,,0.9800000000000001,0.28,0.9800000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.7000000000000001,,,0.56,0.28,0.56,0.28,0.28,0.28,0.14,,,0.56,0.28,0.56,0.28,0.28,0.28,0.14,,,0.8400000000000001,0.28,0.8400000000000001,0.9800000000000001,0.9800000000000001,0.28,0.42000000000000004,
Coalesce time pred8 [s],,,,,,,,,,,0.8400000000000001,0.14,0.8400000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.56,,,0.42000000000000004,0.14,0.42000000000000004,0.28,0.28,0.28,0.14,,,0.42000000000000004,0.14,0.42000000000000004,0.28,0.28,0.28,0.14,,,0.7000000000000001,0.14,0.7000000000000001,0.8400000000000001,0.8400000000000001,0.28,0.42000000000000004,
Coalesce time pred9 [s],,,,,,,,,,,0.7000000000000001,0.14,0.7000000000000001,0.56,0.56,0.56,0.42000000000000004,,,0.42000000000000004,0.14,0.42000000000000004,0.14,0.14,0.14,0.14,,,0.42000000000000004,0.14,0.42000000000000004,0.14,0.14,0.14,0.14,,,0.56,0.14,0.56,0.56,0.56,0.14,0.28,
Coalesce time pred10 [s],,,,,,,,,,,0.56,0.14,0.56,0.56,0.56,0.56,0.28,,,0.28,0.14,0.28,0.14,0.14,0.14,0.14,,,0.28,0.14,0.28,0.14,0.14,0.14,0.14,,,0.42000000000000004,0.14,0.42000000000000004,0.56,0.56,0.14,0.28,
Coalesce time pred11 [s],,,,,,,,,,,0.42000000000000004,0.14,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.28,,,0.28,0.14,0.28,0.14,0.14,0.14,0.14,,,0.28,0.14,0.28,0.14,0.14,0.14,0.14,,,0.42000000000000004,0.14,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.14,0.14,
Coalesce time bw0 [s],(undefined),9.9,10.0,9.9,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,4.48,10.0,10.0,10.0,10.0,10.0,(undefined),(undefined),9.38,4.62,9.38,6.0200000000000005,6.0200000000000005,6.0200000000000005,3.22,(undefined),(undefined),9.38,4.62,9.38,6.0200000000000005,6.0200000000000005,6.0200000000000005,3.22,(undefined),(undefined),10.0,4.62,10.0,10.0,10.0,6.0200000000000005,8.260000000000002,(undefined)
Coalesce time bw1 [s],,4.5,7.2,4.5,10.0,10.0,10.0,7.2,,,10.0,2.9400000000000004,10.0,9.66,9.66,9.66,7.140000000000001,,,6.16,3.08,6.16,3.9200000000000004,3.9200000000000004,3.9200000000000004,2.1,,,6.16,3.08,6.16,3.9200000000000004,3.9200000000000004,3.9200000000000004,2.1,,,8.680000000000001,3.08,8.680000000000001,10.0,10.0,3.9200000000000004,5.460000000000001,
Coalesce time bw2 [s],,1.8,3.6,1.8,6.3,6.3,6.3,3.6,,,8.120000000000001,2.24,8.120000000000001,7.280000000000001,7.280000000000001,7.280000000000001,5.32,,,4.62,2.24,4.62,2.9400000000000004,2.9400000000000004,2.9400000000000004,1.54,,,4.62,2.24,4.62,2.9400000000000004,2.9400000000000004,2.9400000000000004,1.54,,,6.44,2.24,6.44,7.5600000000000005,7.5600000000000005,2.9400000000000004,4.0600000000000005,
Coalesce time bw3 [s],,0.9,1.8,0.9,2.7,2.7,2.7,1.8,,,5.32,1.4000000000000001,5.32,4.760000000000001,4.760000000000001,4.760000000000001,3.5000000000000004,,,3.08,1.54,3.08,1.9600000000000002,1.9600000000000002,1.9600000000000002,0.9800000000000001,,,3.08,1.54,3.08,1.9600000000000002,1.9600000000000002,1.9600000000000002,0.9800000000000001,,,4.340000000000001,1.54,4.340000000000001,5.040000000000001,5.040000000000001,1.9600000000000002,2.66,
Coalesce time bw4 [s],,0.9,0.9,0.9,0.9,0.9,0.9,0.9,,,3.22,0.8400000000000001,3.22,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.1,,,1.8200000000000003,0.8400000000000001,1.8200000000000003,1.12,1.12,1.12,0.56,,,1.8200000000000003,0.8400000000000001,1.8200000000000003,1.12,1.12,1.12,0.56,,,2.5200000000000005,0.8400000000000001,2.5200000000000005,2.9400000000000004,2.9400000000000004,1.12,1.54,
Coalesce time bw5 [s],,,,,,,,,,,2.24,0.56,2.24,1.9600000000000002,1.9600000000000002,1.9600000000000002,1.4000000000000001,,,1.2600000000000002,0.56,1.2600000000000002,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.42000000000000004,,,1.2600000000000002,0.56,1.2600000000000002,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.42000000000000004,,,1.8200000000000003,0.56,1.8200000000000003,2.1,2.1,0.8400000000000001,1.12,
Coalesce time bw6 [s],,,,,,,,,,,1.4000000000000001,0.28,1.4000000000000001,1.2600000000000002,1.2600000000000002,1.2600000000000002,0.8400000000000001,,,0.8400000000000001,0.42000000000000004,0.8400000000000001,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.28,,,0.8400000000000001,0.42000000000000004,0.8400000000000001,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.28,,,1.12,0.42000000000000004,1.12,1.2600000000000002,1.2600000000000002,0.42000000000000004,0.7000000000000001,
Coalesce time bw7 [s],,,,,,,,,,,0.9800000000000001,0.28,0.9800000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.7000000000000001,,,0.56,0.28,0.56,0.28,0.28,0.28,0.14,,,0.56,0.28,0.56,0.28,0.28,0.28,0.14,,,0.8400000000000001,0.28,0.8400000000000001,0.9800000000000001,0.9800000000000001,0.28,0.42000000000000004,
Coalesce time bw8 [s],,,,,,,,,,,0.8400000000000001,0.14,0.8400000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.56,,,0.42000000000000004,0.14,0.42000000000000004,0.28,0.28,0.28,0.14,,,0.42000000000000004,0.14,0.42000000000000004,0.28,0.28,0.28,0.14,,,0.7000000000000001,0.14,0.7000000000000001,0.8400000000000001,0.8400000000000001,0.28,0.42000000000000004,
Coalesce time bw9 [s],,,,,,,,,,,0.7000000000000001,0.14,0.7000000000000001,0.56,0.56,0.56,0.42000000000000004,,,0.42000000000000004,0.14,0.42000000000000004,0.14,0.14,0.14,0.14,,,0.42000000000000004,0.14,0.42000000000000004,0.14,0.14,0.14,0.14,,,0.56,0.14,0.56,0.56,0.56,0.14,0.28,
Coalesce time bw10 [s],,,,,,,,,,,0.56,0.14,0.56,0.56,0.56,0.56,0.28,,,0.28,0.14,0.28,0.14,0.14,0.14,0.14,,,0.28,0.14,0.28,0.14,0.14,0.14,0.14,,,0.42000000000000004,0.14,0.42000000000000004,0.56,0.56,0.14,0.28,
Coalesce time bw11 [s],,,,,,,,,,,0.42000000000000004,0.14,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.28,,,0.28,0.14,0.28,0.14,0.14,0.14,0.14,,,0.28,0.14,0.28,0.14,0.14,0.14,0.14,,,0.42000000000000004,0.14,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.14,0.14,
Combined samples full0,31.0,11.0,16.0,11.0,31.0,31.0,31.0,16.0,16.0,41.0,15.0,32.0,15.0,41.0,41.0,41.0,23.0,23.0,43.0,16.0,33.0,16.0,43.0,43.0,43.0,23.0,23.0,43.0,16.0,33.0,16.0,43.0,43.0,43.0,23.0,23.0,43.0,16.0,33.0,16.0,43.0,43.0,43.0,23.0,23.0
Combined samples full1,15.0,5.0,8.0,5.0,15.0,15.0,15.0,8.0,8.0,27.0,10.0,21.0,10.0,27.0,27.0,27.0,15.0,15.0,28.0,10.0,22.0,10.0,28.0,28.0,28.0,15.0,15.0,28.0,10.0,22.0,10.0,28.0,28.0,28.0,15.0,15.0,28.0,10.0,22.0,10.0,28.0,28.0,28.0,15.0,15.0
Combined samples full2,7.0,2.0,4.0,2.0,7.0,7.0,7.0,4.0,4.0,20.0,7.0,16.0,7.0,20.0,20.0,20.0,11.0,11.0,21.0,8.0,16.0,8.0,21.0,21.0,21.0,11.0,11.0,21.0,8.0,16.0,8.0,21.0,21.0,21.0,11.0,11.0,21.0,8.0,16.0,8.0,21.0,21.0,21.0,11.0,11.0
Combined samples full3,3.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,13.0,5.0,10.0,5.0,13.0,13.0,13.0,7.0,7.0,14.0,5.0,11.0,5.0,14.0,14.0,14.0,7.0,7.0,14.0,5.0,11.0,5.0,14.0,14.0,14.0,7.0,7.0,14.0,5.0,11.0,5.0,14.0,14.0,14.0,7.0,7.0
Combined samples full4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,3.0,6.0,3.0,8.0,8.0,8.0,4.0,4.0,8.0,3.0,6.0,3.0,8.0,8.0,8.0,4.0,4.0,8.0,3.0,6.0,3.0,8.0,8.0,8.0,4.0,4.0,8.0,3.0,6.0,3.0,8.0,8.0,8.0,4.0,4.0
Combined samples full5,,,,,,,,,,5.0,2.0,4.0,2.0,5.0,5.0,5.0,3.0,3.0,6.0,2.0,4.0,2.0,6.0,6.0,6.0,3.0,3.0,6.0,2.0,4.0,2.0,6.0,6.0,6.0,3.0,3.0,6.0,2.0,4.0,2.0,6.0,6.0,6.0,3.0,3.0
Combined samples full6,,,,,,,,,,3.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0
Combined samples full7,,,,,,,,,,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0
Combined samples full8,,,,,,,,,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
