,max_LOW_continuum [blcoal] [spbf],max_LOW_spectral [blcoal] [spbf],max_MID_continuum [blcoal] [spbf],max_MID_spectral [blcoal] [spbf],max_Band5_MID_continuum [blcoal] [spbf],max_Band5_MID_spectral [blcoal] [spbf],01ICAL [blcoal] [spbf],01DPrepA [blcoal] [spbf],01DPrepB [blcoal] [spbf],01DPrepC [blcoal] [spbf],02AICAL [blcoal] [spbf],02ADPrepA [blcoal] [spbf],02ADPrepB [blcoal] [spbf],02ADPrepC [blcoal] [spbf],02BICAL [blcoal] [spbf],02BDPrepA [blcoal] [spbf],02BDPrepB [blcoal] [spbf],02BDPrepC [blcoal] [spbf],13ICAL [Bmax=40000] [blcoal] [spbf],13DPrepA [Bmax=40000] [blcoal] [spbf],13DPrepB [Bmax=40000] [blcoal] [spbf],13DPrepC [Bmax=40000] [blcoal] [spbf],14ICAL [Bmax=25000] [blcoal] [spbf],14DPrepA [Bmax=25000] [blcoal] [spbf],14DPrepB [Bmax=25000] [blcoal] [spbf],14DPrepC [Bmax=25000] [blcoal] [spbf],15ICAL [Bmax=15000] [blcoal] [spbf],15DPrepA [Bmax=15000] [blcoal] [spbf],15DPrepB [Bmax=15000] [blcoal] [spbf],15DPrepC [Bmax=15000] [blcoal] [spbf],22ICAL [blcoal] [spbf],22DPrepA [blcoal] [spbf],22DPrepB [blcoal] [spbf],27ICAL [Bmax=50000] [blcoal] [spbf],27DPrepA [Bmax=50000] [blcoal] [spbf],27DPrepB [Bmax=50000] [blcoal] [spbf],32ICAL [Bmax=20000] [blcoal] [spbf],32DPrepB [Bmax=20000] [blcoal] [spbf],37aICAL [blcoal] [spbf],37aDPrepA [blcoal] [spbf],37aDPrepB [blcoal] [spbf],37bICAL [blcoal] [spbf],37bDPrepA [blcoal] [spbf],37bDPrepB [blcoal] [spbf],37cICAL [Bmax=95000] [blcoal] [spbf],37cDPrepA [Bmax=95000] [blcoal] [spbf],37cDPrepB [Bmax=95000] [blcoal] [spbf],38aICAL [blcoal] [spbf],38aDPrepA [blcoal] [spbf],38aDPrepB [blcoal] [spbf],38bICAL [blcoal] [spbf],38bDPrepA [blcoal] [spbf],38bDPrepB [blcoal] [spbf]
Frequencies backward kernels3,320.3363034786613,787.426130931136,252.55820696441276,866.1713343123106,105.91224817051109,235.83238349960624,236.33470453479393,230.8785695154977,230.8785695154977,615.9050419239013,317.82154323662206,230.8785695154977,230.8785695154977,615.9050419239013,317.82154323662206,230.8785695154977,230.8785695154977,615.9050419239013,49.61581521919217,47.24706361963882,45.69721831730094,176.7860524337724,66.06186237477709,54.73170496445427,53.97389395951929,65.60182750024144,54.75506400253589,44.27423834694009,43.3995346977162,40.0,42.51355264536577,42.082340391030336,42.01015526755373,99.65498513108278,97.77947758470292,95.94600094659603,269.87310891451773,259.6761095842559,124.18926885278577,127.83860773497061,126.71327229770343,125.47197536289073,127.83860773497061,126.71327229770343,124.67371206467021,125.79402852582812,124.83899014012266,109.09736598889404,104.28310172374529,103.55084079430473,104.40497986892974,104.28310172374529,103.55084079430473
Frequencies backward kernels4,471.0493394801615,1081.2261166977396,257.85095600842646,1178.1132252036427,107.65011034231613,279.7333041499281,378.4414255051298,350.05415280954406,350.05415280954406,882.0288885784023,715.4248706730018,350.05415280954406,350.05415280954406,882.0288885784023,715.4248706730018,350.05415280954406,350.05415280954406,882.0288885784023,57.51835116273988,53.03177308164556,50.01132398248613,247.16180986259158,80.54957331151944,59.40350018019545,57.886738135528105,90.8224307058245,,,,,44.050168715621844,43.147664299538526,42.99567499173643,108.34574273391942,104.59034911595847,100.85804628163154,281.07176188966605,265.8426605954124,129.15535484627705,136.62506286184416,134.34266005591238,131.8037496844245,136.62506286184416,134.34266005591238,130.1586321811748,132.46468018617747,130.50006635066367,116.79084192997546,106.87847011000989,105.33181282091888,107.13481739764435,106.87847011000989,105.33181282091888
Frequencies backward kernels5,,,264.21085488439235,1475.3126906642988,109.74802495146989,325.8018147028427,,,,,,,,,,,,,65.96464860556348,59.38537913336979,54.8573575434435,313.1105795349653,,,,,,,,,45.86902613326593,44.4221921320638,44.17692063682942,118.16716017183332,112.40524817530577,106.58961320073722,,,135.01180141085092,146.71505696485588,143.17132474061788,139.19696354045058,146.71505696485588,143.17132474061788,136.60220315912215,140.23500304105843,137.1420471212023,125.61170225404088,109.98483353050666,107.48003908699006,110.39802014087313,109.98483353050666,107.48003908699006
Frequencies backward kernels6,,,279.20102764961126,2031.2615703971842,114.73166703178272,418.1207658027691,,,,,,,,,,,,,70.26078242599121,62.66802084199963,57.396230302075594,344.73363616868465,,,,,,,,,50.054137503845,47.40460528957169,46.94947843744017,133.97238075888313,125.18701572697078,116.14601325416106,,,148.41172184403123,168.96190905352998,162.83581666191398,155.8702607954027,168.96190905352998,162.83581666191398,151.26210556158048,157.6999379883648,152.22505188371375,145.02043161310462,117.25883429533559,112.57614003158102,118.02367650137684,117.25883429533559,112.57614003158102
Frequencies backward kernels7,,,296.2774881923988,2548.9759543477817,120.4687042114987,507.931504695521,,,,,,,,,,,,,,,,,,,,,,,,,54.680760141805436,50.770512053584305,50.0907700431135,,,,,,163.1280518493916,192.43749297327602,183.80312201812168,173.88589005918084,192.43749297327602,183.80312201812168,167.2579268548661,176.50210259090105,168.6477571565547,165.45914039348168,125.47545551020433,118.43163139066266,126.61517348844298,125.47545551020433,118.43163139066266
Frequencies backward kernels8,,,310.0094853524253,2918.6621771031446,125.12274519958534,573.2874807853785,,,,,,,,,,,,,,,,,,,,,,,,,58.31534195856407,53.456866785879555,52.605683109014066,,,,,,174.63349685187922,210.30329861036503,199.86662224025542,187.81085803075538,210.30329861036503,199.86662224025542,179.70587189794176,190.99905526611911,182.35225668898025,180.9937465995656,132.03783166439445,123.17419041071233,133.4628378372862,132.03783166439445,123.17419041071233
Frequencies backward kernels9,,,329.1634440794265,3392.251086351801,131.66713925699602,657.9064706007368,,,,,,,,,,,,,,,,,,,,,,,,,63.28372492575488,57.178784855962775,56.099682250281404,,,,,,190.2996639251883,234.13331243235896,221.39781419456438,206.6013811935269,234.13331243235896,221.39781419456438,183.90532691214818,195.86832722350508,191.32864756791398,201.69501714507126,141.13558613413662,129.83308750462135,142.93897292593618,141.13558613413662,129.83308750462135
Frequencies backward kernels10,,,348.9793682400819,3847.9420413995867,138.49396943047356,739.9352461955265,,,,,,,,,,,,,,,,,,,,,,,,,68.32443581902061,61.00369932074619,59.70012899455872,,,,,,206.13651905037125,267.9907262821344,267.9907262821344,225.4430479908106,267.9907262821344,267.9907262821344,,,,222.22875030658773,150.49079904629488,136.7686036652543,152.66606450073587,150.49079904629488,136.7686036652543
Frequencies backward kernels11,,,389.9023918392926,4288.969305403719,145.51977258322526,819.685443948023,,,,,,,,,,,,,,,,,,,,,,,,,73.39162650977737,64.88946144545918,63.366255091216544,,,,,,222.0108299732959,320.9461603322812,320.9461603322812,244.21034310339738,320.9461603322812,320.9461603322812,,,,242.51563729200106,159.9997131176497,143.89644008403636,162.5382935533472,159.9997131176497,143.89644008403636
Frequencies backward grid0,931.2414905129898,65536.0,1005.0053854489457,65536.0,1034.9988790363216,65536.0,716.1882027630096,663.1885345814411,663.1885345814411,1500.0,1193.1851449561725,663.1885345814411,663.1885345814411,1500.0,1193.1851449561725,663.1885345814411,663.1885345814411,1500.0,435.2910290982149,403.0540788670101,500.0,3200.0,894.8544371933378,497.1909356825173,100.0,5000.0,716.3789380602059,398.02881001253394,398.02881001253394,2500.0,322.42065370364355,398.02881001253394,500.0,894.2545468709208,894.2545468709208,894.2545468709208,2511.6897145573553,2511.6897145573553,652.167937578682,1207.4924417886202,1207.4924417886202,782.5484754593473,1207.4924417886202,1207.4924417886202,869.4688330477134,1207.4924417886202,1207.4924417886202,1815.142702990266,1008.5130422414231,1008.5130422414231,816.9384956364858,1008.5130422414231,1008.5130422414231
Frequencies backward grid1,1861.5105341316757,65536.0,1507.2335084877068,65536.0,1552.3826770323226,65536.0,1431.683593715042,1325.6842841487744,1325.6842841487744,2576.0131800688873,2385.6773440448724,1325.6842841487744,1325.6842841487744,2576.0131800688873,2385.6773440448724,1325.6842841487744,1325.6842841487744,2576.0131800688873,652.8904418135188,604.5350169007022,604.5350169007022,3200.0,1342.225873765601,745.7306245903046,100.0,5000.0,1074.522829922399,596.9976404288616,596.9976404288616,2500.0,483.585407325264,596.9976404288616,596.9976404288616,1341.280466795748,1341.280466795748,1341.280466795748,3767.259952131288,3767.259952131288,978.1192792840136,1811.1060218133737,1811.1060218133737,1173.6900811103947,1811.1060218133737,1811.1060218133737,1304.070614995905,1811.1060218133737,1811.1060218133737,2722.601066020032,1512.656581147074,1512.656581147074,1225.2947645381312,1512.656581147074,1512.656581147074
Frequencies backward grid2,3722.048367432926,65536.0,2009.4616148571042,65536.0,2069.7664721575957,65536.0,2862.67420802834,2650.675602311196,2650.675602311196,5151.333306208186,4770.661641597791,2650.675602311196,2650.675602311196,5151.333306208186,4770.661641597791,2650.675602311196,2650.675602311196,5151.333306208186,870.4898534441417,806.0159537629055,806.0159537629055,3200.0,1789.5973095663412,994.2703121075014,100.0,5000.0,1432.6667211420954,795.9664696855765,795.9664696855765,2500.0,644.7501595153672,795.9664696855765,795.9664696855765,1788.3063841681017,1788.3063841681017,1788.3063841681017,5022.83018303477,5022.83018303477,1304.070614995905,2414.7195985996987,2414.7195985996987,1564.8316817669963,2414.7195985996987,2414.7195985996987,1738.6723924468527,2414.7195985996987,2414.7195985996987,3630.0594274868595,2016.800117240791,2016.800117240791,1633.6510299688712,2016.800117240791,2016.800117240791
Frequencies backward grid3,7443.123906952532,65536.0,3013.917810920462,65536.0,3104.5340595364714,65536.0,5724.655352792174,5300.658148066288,5300.658148066288,10301.97351186012,9540.630186376056,5300.658148066288,5300.658148066288,10301.97351186012,9540.630186376056,5300.658148066288,5300.658148066288,10301.97351186012,1305.6886756205524,1208.9778263156445,1208.9778263156445,3200.0,2684.3401803962356,1491.3496857510963,100.0,5000.0,2148.954502933313,1193.9041270392163,1193.9041270392163,2500.0,967.0796624647984,1193.9041270392163,1193.9041270392163,2682.3582163564483,2682.3582163564483,2682.3582163564483,7533.970638170312,7533.970638170312,1955.9732804231985,3621.9467489340564,3621.9467489340564,2347.114878082577,3621.9467489340564,3621.9467489340564,2607.875942853118,3621.9467489340564,3621.9467489340564,5444.976148857445,3025.0871866158723,3025.0871866158723,2450.3635573561846,3025.0871866158723,3025.0871866158723
Frequencies backward grid4,14885.274922420835,65536.0,5022.83018303477,65536.0,5174.069230853,65536.0,11448.617600355936,10600.623194271158,10600.623194271158,20603.253899857915,19080.56725075056,10600.623194271158,10600.623194271158,20603.253899857915,19080.56725075056,10600.623194271158,10600.623194271158,20603.253899857915,2176.0863186701217,2014.9015700148148,2014.9015700148148,3671.8483988277135,4473.825921121464,2485.5084313703824,100.0,5000.0,,,,,1611.7386666437208,1989.779440352671,1989.779440352671,4470.461877672626,4470.461877672626,4470.461877672626,10045.11108995104,10045.11108995104,3259.7786040836563,6036.401045713372,6036.401045713372,3911.681264714464,6036.401045713372,6036.401045713372,4346.283038268417,6036.401045713372,6036.401045713372,9074.809589730918,5041.661321982965,5041.661321982965,4083.788607959765,5041.661321982965,5041.661321982965
Frequencies backward grid5,,,7031.742547520076,65536.0,7243.604400849842,65536.0,,,,,,,,,,,,,3046.4839612251194,2820.825313173438,2820.825313173438,5140.550873089399,,,,,,,,,2256.3976701657107,2785.654753143743,2785.654753143743,6258.565537827592,6258.565537827592,6258.565537827592,,,4563.583925007532,8450.855341013887,8450.855341013887,5476.2476490649415,8450.855341013887,8450.855341013887,6084.6901316340445,8450.855341013887,8450.855341013887,12704.643029896244,7058.235456070325,7058.235456070325,5717.21365697514,7058.235456070325,7058.235456070325
Frequencies backward grid6,,,11049.567270263373,65536.0,11382.674739763022,65536.0,,,,,,,,,,,,,3481.6827824286233,3223.787184677295,3223.787184677295,5874.902110160061,,,,,,,,,3545.715676687566,4377.4053782844685,4377.4053782844685,8940.721027388057,8940.721027388057,8940.721027388057,,,7171.194564597031,13279.763930416846,13279.763930416846,8605.380415891032,13279.763930416846,13279.763930416846,9561.504316662818,13279.763930416846,13279.763930416846,19964.30990966161,11091.383723198613,11091.383723198613,8984.063753727927,11091.383723198613,11091.383723198613
Frequencies backward grid7,,,15067.391990198219,65536.0,15521.745078190484,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,4835.0336829480575,5969.156003228102,5969.156003228102,,,,,,9778.805203194423,18108.672519208772,18108.672519208772,11734.513181907203,18108.672519208772,18108.672519208772,13038.318500950394,18108.672519208772,18108.672519208772,27223.97678919299,15124.531989867131,15124.531989867131,12250.91384989669,15124.531989867131,15124.531989867131
Frequencies backward grid8,,,18080.76052947859,65536.0,18626.047831869946,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,5802.02218761939,7162.968971877786,7162.968971877786,,,,,,11734.513181907203,21730.353960832246,21730.353960832246,14081.36275621053,21730.353960832246,21730.353960832246,15645.929138975218,21730.353960832246,21730.353960832246,32668.72694857374,18149.39318963302,18149.39318963302,14701.051421855485,18149.39318963302,18149.39318963302
Frequencies backward grid9,,,22098.585247986757,65536.0,22765.118170239723,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,7091.340193737987,8754.719596739762,8754.719596739762,,,,,,14342.123819976441,26559.262549210896,26559.262549210896,17210.49552174649,26559.262549210896,26559.262549210896,16515.132684962446,22937.581107860868,22937.581107860868,39928.39382804045,22182.5414561377,22182.5414561377,17967.901517736373,22182.5414561377,22182.5414561377
Frequencies backward grid10,,,26116.409966266117,65536.0,26904.188508167405,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,8380.658199914396,10346.470221536132,10346.470221536132,,,,,,16949.734457906787,31388.171137799913,31388.171137799913,20339.628287199474,31388.171137799913,31388.171137799913,,,,47188.060706940756,26215.689722525978,26215.689722525978,21234.75161354068,26215.689722525978,26215.689722525978
Frequencies backward grid11,,,30134.234684264968,65536.0,31043.258846574812,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,9669.976205977098,11938.220846287122,11938.220846287122,,,,,,19557.345095862493,36217.0797262356,36217.0797262356,23468.76105257296,36217.0797262356,36217.0797262356,,,,54447.72758676212,30248.837988860792,30248.837988860792,24501.601709168484,30248.837988860792,30248.837988860792
Frequencies backward fft,200,65536,200,65536,200,65536,40,40,40,65536,40,40,40,65536,40,40,40,65536,40,40,40,65536,40,40,40,65536,40,40,40,65536,40,200,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Channels out,500,65536,500,65536,500,65536,40,40,500,1500,40,40,500,1500,40,40,500,1500,40,40,500,3200,500,40,40,65536,500,40,300,65536,40,40,500,40,40,500,500,700,500,40,700,40,40,700,40,40,700,40,40,1000,40,40,1000
Visibilities ingest [1/s],9563013120.0,9563013120.0,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,4781506560.0,2441323970.1003394,2441323970.1003394,3902307504.987704,7111502469.689801,2339668469.8761554,2339668469.8761554,3570050.7658022386,301940665.08576727,1256607169.137975,1256607169.137975,1256607169.137975,80027283.72930248,9129632914.285711,9129632914.285711,9129632914.285711,5083465492.930651,5083465492.930651,5083465492.930651,1837603045.5608811,1837603045.5608811,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9012691084.936573,9012691084.936573,9012691084.936573,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711,9129632914.285711
Visibilities averaged [1/s],2172059316.6796484,9563013120.0,9129632914.285711,9129632914.285711,4324547694.891061,9129632914.285711,4176303988.8529987,1546842936.5080473,1546842936.5080473,3006426809.067266,2784236373.2295218,1546842936.5080473,1546842936.5080473,3006426809.067266,2784236373.2295218,1546842936.5080473,1546842936.5080473,3006426809.067266,518279302.4006185,191958754.35256025,191958754.35256025,637502759.7898726,159717856.55765587,88733912.78821754,3570050.7658022386,301940665.08576727,41204706.33754478,22892280.35432273,22892280.35432273,80027283.72930248,4490292890.902244,1663079436.8938406,1663079436.8938406,693509625.6202189,693509625.6202189,693509625.6202189,281660869.3220735,281660869.3220735,9081506650.686779,5045297899.291234,5045297899.291234,9129632914.285711,5045297899.291234,5045297899.291234,5677961517.734883,3154439281.6288333,3154439281.6288333,7584957365.175866,4213879194.9767995,4213879194.9767995,9129632914.285711,4213879194.9767995,4213879194.9767995
Visibilities pred0 [1/s],6013426.209746044,423194095.29833394,1193049.3754058974,241609545.09431344,2089549.107053146,241609545.09431344,4624734.77984057,4282493.162604078,4282493.162604078,9686144.1489792,7704908.8736440865,4282493.162604078,4282493.162604078,9686144.1489792,7704908.8736440865,4282493.162604078,4282493.162604078,9686144.1489792,907309.7661753509,800110.3533410244,992559.5537826391,11576477.286249842,3395838.1819824134,1015950.3430569423,204338.06615205077,17282099.231556825,2796805.82622371,776969.5866982543,776969.5866982543,8147192.635389234,506280.3683296529,784888.6440528559,985969.6387657714,1741758.0563496472,1741758.0563496472,1741758.0563496472,5476886.68607576,5476886.68607576,774193.4141382019,2437794.672649389,2437794.672649389,1020845.1882957041,2437794.672649389,2437794.672649389,1271124.2918358787,2437794.672649389,2437794.672649389,6691830.486308909,1988726.4798986902,1988726.4798986902,1306999.6904819629,1988726.4798986902,1988726.4798986902
Visibilities pred1 [1/s],3245850.622990184,158712256.14297408,152479.1524060275,30497742.32640041,387007.8512690362,30497742.32640041,2496376.463833689,2311549.18583352,2311549.18583352,6238477.533916785,5777530.421486509,2311549.18583352,2311549.18583352,6238477.533916785,5777530.421486509,2311549.18583352,2311549.18583352,6238477.533916785,172353.3975324887,148189.11920900785,148189.11920900785,1429501.8087744215,733795.8857323548,203845.74417932404,27335.037271845238,2055012.0060082057,460458.94781537366,153496.73233838324,153496.73233838324,1073111.8579621383,93766.93182254337,143698.96361727326,143698.96361727326,322592.7153914576,322592.7153914576,322592.7153914576,966078.3365484157,966078.3365484157,131300.8370506066,451507.3894423598,451507.3894423598,190530.27662103417,451507.3894423598,451507.3894423598,233407.88381474197,451507.3894423598,451507.3894423598,1266985.8668374938,377104.16499675135,377104.16499675135,244372.06161131538,377104.16499675135,377104.16499675135
