,hpso01 (Ingest) [],hpso01 (RCAL) [],hpso01 (FastImg) [],hpso01 (ICAL) [],hpso01 (DPrepA) [],hpso01 (DPrepB) [],hpso01 (DPrepC) [],hpso01 (DPrepD) [],hpso02a (Ingest) [],hpso02a (RCAL) [],hpso02a (FastImg) [],hpso02a (ICAL) [],hpso02a (DPrepA) [],hpso02a (DPrepB) [],hpso02a (DPrepC) [],hpso02a (DPrepD) [],hpso02b (Ingest) [],hpso02b (RCAL) [],hpso02b (FastImg) [],hpso02b (ICAL) [],hpso02b (DPrepA) [],hpso02b (DPrepB) [],hpso02b (DPrepC) [],hpso02b (DPrepD) [],hpso04a (Ingest) [],hpso04a (RCAL) [],hpso04a (FastImg) [],hpso04a (PSS) [],hpso04b (Ingest) [],hpso04b (RCAL) [],hpso04b (FastImg) [],hpso04b (PSS) [],hpso04c (Ingest) [],hpso04c (RCAL) [],hpso04c (FastImg) [],hpso04c (PSS) [],hpso05a (Ingest) [],hpso05a (RCAL) [],hpso05a (FastImg) [],hpso05a (PST) [],hpso05b (Ingest) [],hpso05b (RCAL) [],hpso05b (FastImg) [],hpso05b (PST) [],hpso13 (Ingest) [] [Bmax=35000],hpso13 (RCAL) [] [Bmax=35000],hpso13 (FastImg) [] [Bmax=35000],hpso13 (ICAL) [] [Bmax=35000],hpso13 (DPrepA) [] [Bmax=35000],hpso13 (DPrepB) [] [Bmax=35000],hpso13 (DPrepC) [] [Bmax=35000],hpso14 (Ingest) [] [Bmax=25000],hpso14 (RCAL) [] [Bmax=25000],hpso14 (FastImg) [] [Bmax=25000],hpso14 (ICAL) [] [Bmax=25000],hpso14 (DPrepA) [] [Bmax=25000],hpso14 (DPrepB) [] [Bmax=25000],hpso14 (DPrepC) [] [Bmax=25000],hpso15 (Ingest) [] [Bmax=15000],hpso15 (RCAL) [] [Bmax=15000],hpso15 (FastImg) [] [Bmax=15000],hpso15 (ICAL) [] [Bmax=15000],hpso15 (DPrepA) [] [Bmax=15000],hpso15 (DPrepB) [] [Bmax=15000],hpso15 (DPrepC) [] [Bmax=15000],hpso18 (Ingest) [],hpso18 (RCAL) [],hpso18 (FastImg) [],hpso18 (SinglePulse) [],hpso22 (Ingest) [],hpso22 (RCAL) [],hpso22 (FastImg) [],hpso22 (ICAL) [],hpso22 (DPrepA) [],hpso22 (DPrepB) [],hpso27and33 (Ingest) [] [Bmax=30000],hpso27and33 (RCAL) [] [Bmax=30000],hpso27and33 (FastImg) [] [Bmax=30000],hpso27and33 (ICAL) [] [Bmax=30000],hpso27and33 (DPrepA) [] [Bmax=30000],hpso27and33 (DPrepB) [] [Bmax=30000],hpso32 (Ingest) [] [Bmax=20000],hpso32 (RCAL) [] [Bmax=20000],hpso32 (FastImg) [] [Bmax=20000],hpso32 (ICAL) [] [Bmax=20000],hpso32 (DPrepB) [] [Bmax=20000],hpso37a (Ingest) [] [Bmax=120000],hpso37a (RCAL) [] [Bmax=120000],hpso37a (FastImg) [] [Bmax=120000],hpso37a (ICAL) [] [Bmax=120000],hpso37a (DPrepA) [] [Bmax=120000],hpso37a (DPrepB) [] [Bmax=120000],hpso37b (Ingest) [] [Bmax=120000],hpso37b (RCAL) [] [Bmax=120000],hpso37b (FastImg) [] [Bmax=120000],hpso37b (ICAL) [] [Bmax=120000],hpso37b (DPrepA) [] [Bmax=120000],hpso37b (DPrepB) [] [Bmax=120000],hpso37c (Ingest) [] [Bmax=120000],hpso37c (RCAL) [] [Bmax=120000],hpso37c (FastImg) [] [Bmax=120000],hpso37c (ICAL) [] [Bmax=120000],hpso37c (DPrepA) [] [Bmax=120000],hpso37c (DPrepB) [] [Bmax=120000],hpso38a (Ingest) [],hpso38a (RCAL) [],hpso38a (FastImg) [],hpso38a (ICAL) [],hpso38a (DPrepA) [],hpso38a (DPrepB) [],hpso38b (Ingest) [],hpso38b (RCAL) [],hpso38b (FastImg) [],hpso38b (ICAL) [],hpso38b (DPrepA) [],hpso38b (DPrepB) [],max_low (Ingest) [],max_low (RCAL) [],max_low (FastImg) [],max_low (ICAL) [],max_low (DPrepA) [],max_low (DPrepA_Image) [],max_low (DPrepB) [],max_low (DPrepC) [],max_low (DPrepD) [],max_mid_band1 (Ingest) [],max_mid_band1 (RCAL) [],max_mid_band1 (FastImg) [],max_mid_band1 (ICAL) [],max_mid_band1 (DPrepA) [],max_mid_band1 (DPrepA_Image) [],max_mid_band1 (DPrepB) [],max_mid_band1 (DPrepC) [],max_mid_band1 (DPrepD) [],max_mid_band2 (Ingest) [],max_mid_band2 (RCAL) [],max_mid_band2 (FastImg) [],max_mid_band2 (ICAL) [],max_mid_band2 (DPrepA) [],max_mid_band2 (DPrepA_Image) [],max_mid_band2 (DPrepB) [],max_mid_band2 (DPrepC) [],max_mid_band2 (DPrepD) [],max_mid_band5a_1 (Ingest) [],max_mid_band5a_1 (RCAL) [],max_mid_band5a_1 (FastImg) [],max_mid_band5a_1 (ICAL) [],max_mid_band5a_1 (DPrepA) [],max_mid_band5a_1 (DPrepA_Image) [],max_mid_band5a_1 (DPrepB) [],max_mid_band5a_1 (DPrepC) [],max_mid_band5a_1 (DPrepD) [],max_mid_band5a_2 (Ingest) [],max_mid_band5a_2 (RCAL) [],max_mid_band5a_2 (FastImg) [],max_mid_band5a_2 (ICAL) [],max_mid_band5a_2 (DPrepA) [],max_mid_band5a_2 (DPrepA_Image) [],max_mid_band5a_2 (DPrepB) [],max_mid_band5a_2 (DPrepC) [],max_mid_band5a_2 (DPrepD) [],max_mid_band5b_1 (Ingest) [],max_mid_band5b_1 (RCAL) [],max_mid_band5b_1 (FastImg) [],max_mid_band5b_1 (ICAL) [],max_mid_band5b_1 (DPrepA) [],max_mid_band5b_1 (DPrepA_Image) [],max_mid_band5b_1 (DPrepB) [],max_mid_band5b_1 (DPrepC) [],max_mid_band5b_1 (DPrepD) [],max_mid_band5b_2 (Ingest) [],max_mid_band5b_2 (RCAL) [],max_mid_band5b_2 (FastImg) [],max_mid_band5b_2 (ICAL) [],max_mid_band5b_2 (DPrepA) [],max_mid_band5b_2 (DPrepA_Image) [],max_mid_band5b_2 (DPrepB) [],max_mid_band5b_2 (DPrepC) [],max_mid_band5b_2 (DPrepD) []
Oversampling used pred3,,63.9859050499109,55.8840629247599,63.9859050499109,41.3596177776402,39.4007665494893,54.8560590503759,,,63.9859050499109,55.8840629247599,61.5576108545316,41.3596177776402,39.4007665494893,54.8560590503759,,,63.9859050499109,55.8840629247599,61.5576108545316,41.3596177776402,39.4007665494893,54.8560590503759,,,63.9920620540483,57.1011311180676,,,20.9018198072409,61.6113935216085,,,23.9195587795551,61.7390722134442,,,63.9920620540483,57.1011311180676,,,23.3980248301038,61.6987991639544,,,37.7513655346357,61.7613336554914,37.7513658867902,54.8561098512579,53.0216200713453,62.0386166141276,,42.493373311257,62.4857473431965,44.483369838609,58.4058555241715,55.9988323709715,63.9999875169921,,39.9173220384099,63.1445452616835,63.9950617519271,60.7715478143751,60.2311320812153,63.9987050883261,,20.9018198072409,61.6113935216085,,,41.6049265202551,61.7134992940011,41.6049265202551,58.0864130373337,58.0864130373337,,52.4224796587533,62.4904839593903,58.3382408189365,58.7398421187082,55.353551757453,,53.4073865855735,63.0012993649288,60.3943745392771,59.1216538258345,,28.5957605564434,62.5219748264295,28.5957605564434,20.1407022247356,20.1407022247356,,28.5957605564434,62.5219748264295,28.5957605564434,20.1407022247356,20.1407022247356,,28.5957605564434,62.5219748264295,28.5957605564434,20.1407022247356,20.1407022247356,,41.7344587516701,61.8006238215301,33.9164498131883,57.9749065218943,57.9749065218943,,41.7344587516701,61.8006238215301,41.7344587516701,57.9749065218943,57.9749065218943,,63.9915956025968,56.0779743808474,63.9915956025969,41.8092090700801,41.5968158445681,40.1818399867596,63.9715198936417,,,15.2109606218278,62.4913834832709,15.2109606423585,18.8250211094577,17.7745686122705,11.7584454698355,63.2631011219746,,,23.3980248301038,61.6987991639544,23.3980248301038,19.3051360880826,19.3051360880826,12.4603873532948,63.9994905560443,,,40.9809963459008,61.7658984070577,40.9809963459008,56.6719742517106,37.4117194912271,37.4117194912271,64,,,40.9421779433932,61.6021564765959,40.9421779433932,57.2399832753325,57.2399832753325,57.2399832753325,64,,,43.3231003845051,62.5358832225685,43.3231003845051,58.3501273101897,39.5235609477256,58.3501273101897,64,,,49.1987065400383,61.6151332466979,49.1987065400383,57.7358192553023,57.7358192553023,57.7358192553023,64,
Oversampling used pred4,,63.9999968944436,63.8903860295515,63.9999968944436,62.9974103180527,62.6027816620427,63.9733242164194,,,63.9999968944436,63.8903860295515,63.9998641863965,62.9974103180527,62.6027816620427,63.9733242164194,,,63.9999968944436,63.8903860295515,63.9998641863965,62.9974103180527,62.6027816620427,63.9733242164194,,,63.9999990149887,63.9706637753848,,,40.1598955759688,63.9964736698101,,,44.1085142494789,63.9973870428993,,,63.9999990149887,63.9706637753848,,,43.4964307667735,63.9971936396133,,,59.584144380784,63.9988763042701,59.5841445585064,63.9024031056009,63.82047754548,63.9784934241672,,59.8099861941407,63.9997194668467,62.7781976607013,63.9810272086229,63.9374566175519,63.9999999999976,,,,,,,,,40.1598955759688,63.9964736698101,,,60.3873302554673,63.9975597243615,60.3873302554673,63.8875576520651,63.8875576520651,,63.1090854130381,63.9977852218537,63.9240319905949,63.938073563805,63.7537301726158,,61.3851163075863,63.9818619868411,63.7968453405182,63.6281172718251,,51.5104970668919,63.9979095865557,51.5104973204606,40.7165629643303,38.7633203327869,,51.5104970668919,63.9979095865557,51.5104973182594,40.7165628566121,38.7633203327869,,51.5104970668919,63.9979095865557,51.5104973182594,40.7165628566121,38.7633203327869,,60.3797582329073,63.9978297189846,56.4233285438212,63.8701275761265,63.8701275761265,,60.3797582329073,63.9978297189846,60.3797582329073,63.8701275761265,63.8701275761265,,63.9999988958267,63.9242123633195,63.9999988958267,63.0747016971651,63.0387674700774,62.7719536758319,63.9999873263053,,,33.6840944923764,63.9968786878334,33.6840945275017,40.1450318208061,38.5397896476913,24.8113887529792,63.9348279473357,,,43.4964307667735,63.9971936396133,43.4964306522899,39.1253598665016,38.3352563635668,28.276432390915,63.9999997008408,,,59.7399643785218,63.9977088051764,59.7399643785218,63.8021568150083,58.1017907499137,58.1017907499137,64,,,59.9328003662607,63.9971696954258,59.9328003662607,63.8056983794612,63.8056983794612,63.8056983794612,64,,,60.6223918327474,63.998213304718,60.6223918327474,63.894567741296,59.0595364006906,63.894567741296,64,,,63.2082078866702,63.9972321407902,63.2082078866702,63.9257465387704,63.9257465387704,63.9257465387704,64,
Oversampling used pred5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.5626107914887,63.9999998002099,,,55.226929733973,63.9999999369958,,,,,,,56.9542485506178,63.9999999212472,,,63.4054586898397,63.9999999826766,63.4054587317132,63.9999221793292,63.999720152431,63.9999967517157,,,,,,,,,,,,,,,,54.5626107914887,63.9999998002099,,,63.7671094865484,63.9999999654136,63.7671094865484,63.999233918506,63.998684409616,,63.9314422450913,63.9999992543281,63.9996530795195,63.9997598554566,63.9971184375832,,,,,,,61.1721648168715,63.9999999554482,61.1721649264742,55.1792291629813,51.3680527847255,,61.1721648168715,63.9999999554482,61.1721649255227,55.1792290829995,51.3680527847255,,61.1721648168715,63.9999999554482,61.1721649255227,55.1792290829995,51.3680527847255,,63.7572761803651,63.9999999727796,62.793337074693,63.9992694086174,63.998082669715,,63.7572761803651,63.9999999727796,63.7572761803651,63.9992694086174,63.998082669715,,,,,,,,,,,49.7725384933292,63.999999647624,49.7725385265032,55.1078968519484,53.8709429721006,39.725486645742,63.9935866317244,,,56.9542485506178,63.9999999212472,56.9542484743596,53.9590088790095,52.5856190161677,42.0828122296387,63.999999998572,,,63.6184025652916,63.9999999685864,63.6184025652916,63.9986781860315,63.2266732339483,63.2266732339483,64,,,63.6825150921823,63.9999999521189,63.6825150921823,63.9980757396908,63.9957004301362,63.9957004301362,64,,,63.7912005482567,63.9999999819453,63.7912005482567,63.9987213744434,63.506592678353,63.9987213744434,64,,,63.9902027502221,63.9999999555117,63.9902027502221,63.9995543698474,63.9995543698474,63.9995543698474,64,
Oversampling used pred6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.5176318299508,63.9999999999999,,,63.4215083191268,64,,,,,,,63.7712950561825,64,,,,,,,,,,,,,,,,,,,,,,,,63.5176318299508,63.9999999999999,,,63.9997010828973,64,63.9997010828973,64,63.9999999999732,,,,,,,,,,,,,63.9710993776945,64,63.9710993804605,63.6434671149312,62.8486456472479,,63.9710993776945,64,63.9710993804365,63.6434671064645,62.8486456785454,,63.9710993776945,64,63.9710993804365,63.6434671064645,62.8486456785454,,63.9996175962741,64,63.9938960476305,64,63.9999999998828,,63.9996175962741,64,63.9996175962741,64,63.9999999998828,,,,,,,,,,,62.5402748621331,64,62.5402748706905,63.486049080912,63.2933789725306,58.2633507365612,63.9998163793472,,,63.7712950561825,64,63.7712950498617,63.4994227181196,63.2996996070375,57.4234611024018,63.9999999999999,,,63.998324427135,64,63.998324427135,63.9999999999999,63.9978308693632,63.9978308693632,64,,,63.9991923652576,64,63.9991923652576,63.9999999985956,63.9999999431354,63.999999325017,64,,,63.9999784137386,64,63.9999784137386,63.9999999999999,63.9995595539222,63.9999999999664,64,,,63.9999999893935,64,63.9999999893935,63.9999999988444,63.9999999988444,63.9999999988444,64,
Oversampling used pred7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.9911572504723,64,,,63.9876952389022,64,,,,,,,63.9977232486417,64,,,,,,,,,,,,,,,,,,,,,,,,63.9911572504723,64,,,63.9999999947204,64,63.9999999947204,64,64,,,,,,,,,,,,,63.9999737086354,64,63.9999737086402,63.9928505357436,63.9441714899112,,63.9999737086354,64,63.9999737086401,63.9928505354459,63.9441714925719,,63.9999737086354,64,63.9999737086401,63.9928505354459,63.9441714925719,,63.9999999891676,64,63.9999961180819,64,64,,63.9999999891676,64,63.9999999891676,64,64,,,,,,,,,,,63.9594768422731,64,63.9594768427359,63.9966850184249,63.9936424181784,63.2026871348731,63.9999926466476,,,63.9977232486417,64,63.9977232485273,63.9870386502904,63.9766496550913,62.789127231048,64,,,63.9999999347274,64,63.9999999347274,64,63.999999571178,63.999999571178,64,,,63.9999999433343,64,63.9999999433343,64,64,64,64,,,63.9999999953083,64,63.9999999953083,64,63.9999999902773,64,64,,,64,64,64,64,64,64,64,
Oversampling used pred8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.9998228272172,64,,,63.9997148882295,64,,,,,,,63.999974889804,64,,,,,,,,,,,,,,,,,,,,,,,,63.9998228272172,64,,,64,64,64,64,64,,,,,,,,,,,,,63.9999999831472,64,63.9999999831472,63.9999853101411,63.9995359688494,,63.9999999831472,64,63.9999999831472,63.9999853101401,63.9995359688866,,63.9999999831472,64,63.9999999831472,63.9999853101401,63.9995359688866,,63.9999999999999,64,63.9999999970098,64,64,,63.9999999999999,64,63.9999999999999,64,64,,,,,,,,,,,63.9978701803352,64,63.9978701803693,63.9999568668555,63.9998898317999,63.9262514726586,63.9999974616284,,,63.999974889804,64,63.9999748898021,63.9995682117167,63.9990156061259,63.5345793372451,64,,,63.9999999999997,64,63.9999999999997,64,63.9999999452127,63.9999999452127,64,,,63.9999999999978,64,63.9999999999978,64,64,64,64,,,64,64,64,64,63.9999999999999,64,64,,,64,64,64,64,64,64,64,
Oversampling used pred9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.9999997933835,64,,,63.999999572605,64,,,,,,,63.9999999895581,64,,,,,,,,,,,,,,,,,,,,,,,,63.9999997933835,64,,,64,64,64,64,64,,,,,,,,,,,,,64,64,64,63.9999999953967,63.9999991004885,,64,64,64,63.9999999953967,63.9999991004886,,64,64,64,63.9999999953967,63.9999991004886,,64,64,64,64,64,,64,64,64,64,64,,,,,,,,,,,63.999982672903,64,63.9999826729034,63.9999999761355,63.9999999000165,63.9958673166443,63.9999993153018,,,63.9999999895581,64,63.9999999895581,63.999999978805,63.9999999039767,63.9541206613023,64,,,64,64,64,64,63.9999999999975,63.9999999999975,64,,,63.9999999999999,64,63.9999999999999,64,64,64,64,,,64,64,64,64,64,64,64,,,64,64,64,64,64,64,64,
Oversampling used pred10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.9999999999973,64,,,63.9999999999916,64,,,,,,,64,64,,,,,,,,,,,,,,,,,,,,,,,,63.9999999999973,64,,,64,64,64,64,64,,,,,,,,,,,,,64,64,64,63.9999999994492,63.9999998261436,,64,64,64,63.9999999994492,63.9999998261437,,64,64,64,63.9999999994492,63.9999998261437,,64,64,64,64,64,,64,64,64,64,64,,,,,,,,,,,63.9999999872855,64,63.9999999872855,63.9999999995392,63.9999999974949,63.9999268688469,63.9999999420535,,,64,64,64,63.9999999995995,63.9999999976117,63.994480913059,64,,,64,64,64,64,64,64,64,,,64,64,64,64,64,64,64,,,64,64,64,64,64,64,64,,,64,64,64,64,64,64,64,
Oversampling used pred11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,,,63.9999999999999,64,,,,,,,64,64,,,,,,,,,,,,,,,,,,,,,,,,64,64,,,64,64,64,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64,64,64,64,,64,64,64,64,64,,,,,,,,,,,63.9999999999999,64,63.9999999999999,64,64,63.9999998278497,63.9999999994288,,,64,64,64,64,64,63.9997384290662,64,,,64,64,64,64,64,64,64,,,64,64,64,64,64,64,64,,,64,64,64,64,64,64,64,,,64,64,64,64,64,64,64,
Oversampling used bw0,(undefined),5.78669300796766,3.1984867765049,5.78669300796694,2.92668833173222,2.69798036253311,3.44719075877529,(undefined),(undefined),5.78669300796766,3.1984867765049,4.53668154088757,2.92668833173222,2.69798036253311,3.44719075877529,(undefined),(undefined),5.78669300796766,3.1984867765049,4.53668154088757,2.92668833173222,2.69798036253311,3.44719075877529,(undefined),(undefined),6.16163169395202,3.20705609333847,(undefined),(undefined),4.48854969645881,19.6964742505882,(undefined),(undefined),4.73629125594979,19.9063284773469,(undefined),(undefined),6.16163169395202,3.20705609333847,(undefined),(undefined),4.68818820277308,19.8274974063346,(undefined),(undefined),6.00813481070056,19.9992089119581,6.00813481070056,12.4449370526577,11.3866814190004,49.2423150951225,(undefined),6.87145892394248,20.4607904926546,8.12594181866704,14.156889376142,12.7257090171806,63.7925353122085,(undefined),6.69239554726232,19.3743550939398,34.9307623173988,14.1041222951329,13.456315016723,59.7076510898202,(undefined),4.48854969645881,19.6964742505882,(undefined),(undefined),7.09567039352915,19.806575050249,7.09567039352915,15.5604263916734,17.1300504121794,(undefined),10.060104214004,20.7445298727562,14.2889894326463,14.6685697368254,12.5248143446773,(undefined),10.783678725779,22.0177846424402,15.9999352117402,14.5264655234084,(undefined),5.45270669481364,20.8397665228956,5.45270669481364,4.24352819133273,6.05543196404849,(undefined),5.45270669481364,20.8397665228956,5.45270669481364,4.24352819133273,6.05543196404849,(undefined),5.45270669481364,20.8397665228956,5.45270669481364,4.24352819133273,6.05543196404849,(undefined),7.26765103133822,19.9975427435115,5.68820503511173,15.6582008314684,15.6582008314684,(undefined),7.26765103133822,19.9975427435115,7.26765103133822,15.6582008314684,15.6582008314684,(undefined),6.12445659976983,3.19970310108736,6.12445659977988,2.98184183221998,2.95565435929136,2.78701444076187,48.0454313185599,(undefined),(undefined),3.68001173844042,20.912788349414,3.68001173844042,3.9765756207435,3.9765756207435,3.17459811873173,58.779237189572,(undefined),(undefined),4.68818820277308,19.8274974063346,4.68818820277308,4.12914848088921,4.12914848088921,3.85638710625624,63.2708721823158,(undefined),(undefined),7.19836203804054,19.9235921865189,7.19836203804054,15.3291786161748,6.2259168378739,6.2259168378739,63.9999996799394,(undefined),(undefined),6.88526456717779,19.0941979670268,6.88526456717779,14.9333082875349,14.9333082875349,14.9333082875349,63.9999999943861,(undefined),(undefined),7.50671849223751,20.8247885559008,7.50671849223751,16.2650908185812,6.51765418716703,16.2650908185812,63.9999999999993,(undefined),(undefined),9.61072700185886,19.1180597412613,9.61072700185886,13.9833095410273,13.9833095410273,17.506424052802,64,(undefined)
Oversampling used bw1,,18.9415669123888,8.48122186313531,18.9415669123867,5.71644698187868,5.27935683406138,7.3300289374325,,,18.9415669123888,8.48122186313531,10.6218806886339,5.71644698187868,5.27935683406138,7.3300289374325,,,18.9415669123888,8.48122186313531,10.6218806886339,5.71644698187868,5.27935683406138,7.3300289374325,,,20.0068860257282,8.5117888704141,,,7.05040062281491,36.0101775264984,,,7.75614413831684,36.3154010341078,,,20.0068860257282,8.5117888704141,,,7.64871923888052,36.2029036573678,,,12.1804139679893,36.4406459234771,12.1804141326654,24.6539066744237,22.8134944604327,53.3832437515798,,14.2408127170025,36.2143492242029,16.4420865402162,29.2024549886018,25.9454636788255,63.9828780605571,,13.8756593490624,37.0559123880192,50.7956694840916,28.7853770172788,27.6781984493783,63.1515933912341,,7.05040062281491,36.0101775264984,,,15.005876234712,36.1800733724427,15.005876234712,29.2192085417484,29.2192085417484,,20.8676164532232,38.9963922328294,29.0977405613817,29.7338900598956,25.2002883559724,,23.1804526957569,38.0405932355254,29.4478655733309,27.1352806031514,,10.2424951530438,37.9832810423109,10.2424951530438,6.24204644972325,6.24204644972325,,10.2424951530438,37.9832810423109,10.2424951530438,6.24204644972325,6.24204644972325,,10.2424951530438,37.9832810423109,10.2424951530438,6.24204644972325,6.24204644972325,,15.1291339485241,36.4497473069346,10.9442590008732,30.0504437208356,30.0504437208356,,15.1291339485241,36.4497473069346,15.1291339485241,30.0504437208356,30.0504437208356,,19.9020827454758,8.48574823262295,19.9020827455042,5.82160929053873,5.77168946640209,5.44970739445134,54.7045507910015,,,5.15775070032478,38.0626378070911,5.15775070032478,5.66875010841468,5.66875010841468,4.54662977385296,58.6316707404035,,,7.64871923888052,36.2029036573678,7.64871923888052,5.96780474351014,5.96780474351014,4.65251991196702,63.8371355264203,,,14.9351687494941,36.3451116528239,14.9351687494941,29.2094118901434,12.9757405820353,12.9757405820353,63.999999999968,,,14.4661158389973,35.8490728319049,14.4661158389973,28.5451013767089,28.5451013767089,28.5451013767089,63.9999999999999,,,15.6992267326489,37.9699048544864,15.6992267326489,30.5249102452359,13.8644406235488,30.5249102452359,64,,,19.6192256766353,35.8840572517246,19.6192256766353,27.4797788447643,27.4797788447643,27.4797788447643,64,
Oversampling used bw2,,48.2736289816103,27.5154070016147,48.2736289816074,14.6440059285377,13.6092714776983,24.6537903018505,,,48.2736289816103,27.5154070016147,35.7147039810717,14.6440059285377,13.6092714776983,24.6537903018505,,,48.2736289816103,27.5154070016147,35.7147039810717,14.6440059285377,13.6092714776983,24.6537903018505,,,49.7088497136172,27.776754723802,,,11.4059615705326,49.923998418368,,,12.8951130543304,50.2179575334216,,,49.7088497136172,27.776754723802,,,12.6743080908241,50.1133123004876,,,20.3200962641494,49.667069067017,20.3200965153131,37.0481655986151,34.7664343896508,57.7323945024661,,22.6261468346228,51.925247493847,26.2484602474178,42.3358425902198,38.6008136519583,63.9987665918389,,22.5510800807495,48.8540051611084,61.2755309761161,40.3534241133426,39.1014166894638,63.71212095052,,11.4059615705326,49.923998418368,,,24.0991532983195,50.1045203585059,24.0991532983195,42.7527558138429,42.7527558138429,,31.7045919602793,50.6237228922843,40.7019989881682,41.4054038516455,36.2066574764378,,35.2276961566696,52.0759695739974,43.7473426871591,41.1439735473886,,16.2878854532659,50.7410158078325,16.2878854532659,10.5154834506983,10.5154834506983,,16.2878854532659,50.7410158078325,16.2878854532659,10.5154834506983,10.5154834506983,,16.2878854532659,50.7410158078325,16.2878854532659,10.5154834506983,10.5154834506983,,24.2542723381195,50.3503258355008,18.379262294238,42.7538084687454,42.7538084687454,,24.2542723381195,50.3503258355008,24.2542723381195,42.7538084687454,42.7538084687454,,49.5721904365634,27.5565941559485,49.5721904366005,14.8909133519348,14.7738075160577,14.0141819432991,62.6499160000458,,,7.80702030072565,50.775210671812,7.80702030072565,9.05192582835672,9.05192582835672,5.96741933252304,61.0164686264855,,,12.6743080908241,50.1133123004876,12.6743080908241,9.9217330248896,9.9217330248896,6.06237083573363,63.9791457156521,,,23.8758615737972,50.2545135263458,23.8758615737972,41.458734434792,21.0575784930398,21.0575784930398,64,,,23.1338555601054,48.4845778150104,23.1338555601054,40.7104077358647,40.7104077358647,40.7104077358647,64,,,25.2301441358794,50.741689128388,25.2301441358794,43.304577876944,22.1926078781962,43.304577876944,64,,,30.6148638568079,48.5184247529124,30.6148638568079,40.1235888697297,40.1235888697297,40.1235888697297,64,
Oversampling used bw3,,63.9859050499109,55.8840629247599,63.9859050499109,41.3596177776402,39.4007665494893,54.8560590503759,,,63.9859050499109,55.8840629247599,61.5576108545316,41.3596177776402,39.4007665494893,54.8560590503759,,,63.9859050499109,55.8840629247599,61.5576108545316,41.3596177776402,39.4007665494893,54.8560590503759,,,63.9920620540483,57.1011311180676,,,20.9018198072409,61.6113935216085,,,23.9195587795551,61.7390722134442,,,63.9920620540483,57.1011311180676,,,23.3980248301038,61.6987991639544,,,37.7513655346357,61.7613336554914,37.7513658867902,54.8561098512579,53.0216200713453,62.0386166141276,,42.493373311257,62.4857473431965,44.483369838609,58.4058555241715,55.9988323709715,63.9999875169921,,39.9173220384099,63.1445452616835,63.9950617519271,60.7715478143751,60.2311320812153,63.9987050883261,,20.9018198072409,61.6113935216085,,,41.6049265202551,61.7134992940011,41.6049265202551,58.0864130373337,58.0864130373337,,52.4224796587533,62.4904839593903,58.3382408189365,58.7398421187082,55.353551757453,,53.4073865855735,63.0012993649288,60.3943745392771,59.1216538258345,,28.5957605564434,62.5219748264295,28.5957605564434,20.1407022247356,20.1407022247356,,28.5957605564434,62.5219748264295,28.5957605564434,20.1407022247356,20.1407022247356,,28.5957605564434,62.5219748264295,28.5957605564434,20.1407022247356,20.1407022247356,,41.7344587516701,61.8006238215301,33.9164498131883,57.9749065218943,57.9749065218943,,41.7344587516701,61.8006238215301,41.7344587516701,57.9749065218943,57.9749065218943,,63.9915956025968,56.0779743808474,63.9915956025969,41.8092090700801,41.5968158445681,40.1818399867596,63.9715198936417,,,15.2109606218278,62.4913834832709,15.2109606423585,18.8250211094577,17.7745686122705,11.7584454698355,63.2631011219746,,,23.3980248301038,61.6987991639544,23.3980248301038,19.3051360880826,19.3051360880826,12.4603873532948,63.9994905560443,,,40.9809963459008,61.7658984070577,40.9809963459008,56.6719742517106,37.4117194912271,37.4117194912271,64,,,40.9421779433932,61.6021564765959,40.9421779433932,57.2399832753325,57.2399832753325,57.2399832753325,64,,,43.3231003845051,62.5358832225685,43.3231003845051,58.3501273101897,39.5235609477256,58.3501273101897,64,,,49.1987065400383,61.6151332466979,49.1987065400383,57.7358192553023,57.7358192553023,57.7358192553023,64,
