,hpso01 (Ingest) [],hpso01 (RCAL) [],hpso01 (FastImg) [],hpso01 (ICAL) [],hpso01 (DPrepA) [],hpso01 (DPrepB) [],hpso01 (DPrepC) [],hpso01 (DPrepD) [],hpso02a (Ingest) [],hpso02a (RCAL) [],hpso02a (FastImg) [],hpso02a (ICAL) [],hpso02a (DPrepA) [],hpso02a (DPrepB) [],hpso02a (DPrepC) [],hpso02a (DPrepD) [],hpso02b (Ingest) [],hpso02b (RCAL) [],hpso02b (FastImg) [],hpso02b (ICAL) [],hpso02b (DPrepA) [],hpso02b (DPrepB) [],hpso02b (DPrepC) [],hpso02b (DPrepD) [],hpso04a (Ingest) [],hpso04a (RCAL) [],hpso04a (FastImg) [],hpso04b (Ingest) [],hpso04b (RCAL) [],hpso04b (FastImg) [],hpso04c (Ingest) [],hpso04c (RCAL) [],hpso04c (FastImg) [],hpso05a (Ingest) [],hpso05a (RCAL) [],hpso05a (FastImg) [],hpso05b (Ingest) [],hpso05b (RCAL) [],hpso05b (FastImg) [],hpso13 (Ingest) [] [Bmax=40000],hpso13 (RCAL) [] [Bmax=40000],hpso13 (FastImg) [] [Bmax=40000],hpso13 (ICAL) [] [Bmax=40000],hpso13 (DPrepA) [] [Bmax=40000],hpso13 (DPrepB) [] [Bmax=40000],hpso13 (DPrepC) [] [Bmax=40000],hpso14 (Ingest) [] [Bmax=25000],hpso14 (RCAL) [] [Bmax=25000],hpso14 (FastImg) [] [Bmax=25000],hpso14 (ICAL) [] [Bmax=25000],hpso14 (DPrepA) [] [Bmax=25000],hpso14 (DPrepB) [] [Bmax=25000],hpso14 (DPrepC) [] [Bmax=25000],hpso15 (Ingest) [] [Bmax=15000],hpso15 (RCAL) [] [Bmax=15000],hpso15 (FastImg) [] [Bmax=15000],hpso15 (ICAL) [] [Bmax=15000],hpso15 (DPrepA) [] [Bmax=15000],hpso15 (DPrepB) [] [Bmax=15000],hpso15 (DPrepC) [] [Bmax=15000],hpso18 (Ingest) [],hpso18 (RCAL) [],hpso22 (Ingest) [],hpso22 (RCAL) [],hpso22 (FastImg) [],hpso22 (ICAL) [],hpso22 (DPrepA) [],hpso22 (DPrepB) [],hpso27and33 (Ingest) [] [Bmax=50000],hpso27and33 (RCAL) [] [Bmax=50000],hpso27and33 (FastImg) [] [Bmax=50000],hpso27and33 (ICAL) [] [Bmax=50000],hpso27and33 (DPrepA) [] [Bmax=50000],hpso27and33 (DPrepB) [] [Bmax=50000],hpso32 (Ingest) [] [Bmax=20000],hpso32 (RCAL) [] [Bmax=20000],hpso32 (FastImg) [] [Bmax=20000],hpso32 (ICAL) [] [Bmax=20000],hpso32 (DPrepB) [] [Bmax=20000],hpso37a (Ingest) [],hpso37a (RCAL) [],hpso37a (FastImg) [],hpso37a (ICAL) [],hpso37a (DPrepA) [],hpso37a (DPrepB) [],hpso37b (Ingest) [],hpso37b (RCAL) [],hpso37b (FastImg) [],hpso37b (ICAL) [],hpso37b (DPrepA) [],hpso37b (DPrepB) [],hpso37c (Ingest) [] [Bmax=95000],hpso37c (RCAL) [] [Bmax=95000],hpso37c (FastImg) [] [Bmax=95000],hpso37c (ICAL) [] [Bmax=95000],hpso37c (DPrepA) [] [Bmax=95000],hpso37c (DPrepB) [] [Bmax=95000],hpso38a (Ingest) [],hpso38a (RCAL) [],hpso38a (FastImg) [],hpso38a (ICAL) [],hpso38a (DPrepA) [],hpso38a (DPrepB) [],hpso38b (Ingest) [],hpso38b (RCAL) [],hpso38b (FastImg) [],hpso38b (ICAL) [],hpso38b (DPrepA) [],hpso38b (DPrepB) [],max_low (Ingest) [],max_low (RCAL) [],max_low (FastImg) [],max_low (ICAL) [],max_low (DPrepA) [],max_low (DPrepA_Image) [],max_low (DPrepB) [],max_low (DPrepC) [],max_low (DPrepD) [],max_mid_band1 (Ingest) [],max_mid_band1 (RCAL) [],max_mid_band1 (FastImg) [],max_mid_band1 (ICAL) [],max_mid_band1 (DPrepA) [],max_mid_band1 (DPrepA_Image) [],max_mid_band1 (DPrepB) [],max_mid_band1 (DPrepC) [],max_mid_band1 (DPrepD) [],max_mid_band2 (Ingest) [],max_mid_band2 (RCAL) [],max_mid_band2 (FastImg) [],max_mid_band2 (ICAL) [],max_mid_band2 (DPrepA) [],max_mid_band2 (DPrepA_Image) [],max_mid_band2 (DPrepB) [],max_mid_band2 (DPrepC) [],max_mid_band2 (DPrepD) [],max_mid_band5a_1 (Ingest) [],max_mid_band5a_1 (RCAL) [],max_mid_band5a_1 (FastImg) [],max_mid_band5a_1 (ICAL) [],max_mid_band5a_1 (DPrepA) [],max_mid_band5a_1 (DPrepA_Image) [],max_mid_band5a_1 (DPrepB) [],max_mid_band5a_1 (DPrepC) [],max_mid_band5a_1 (DPrepD) [],max_mid_band5a_2 (Ingest) [],max_mid_band5a_2 (RCAL) [],max_mid_band5a_2 (FastImg) [],max_mid_band5a_2 (ICAL) [],max_mid_band5a_2 (DPrepA) [],max_mid_band5a_2 (DPrepA_Image) [],max_mid_band5a_2 (DPrepB) [],max_mid_band5a_2 (DPrepC) [],max_mid_band5a_2 (DPrepD) [],max_mid_band5b_1 (Ingest) [],max_mid_band5b_1 (RCAL) [],max_mid_band5b_1 (FastImg) [],max_mid_band5b_1 (ICAL) [],max_mid_band5b_1 (DPrepA) [],max_mid_band5b_1 (DPrepA_Image) [],max_mid_band5b_1 (DPrepB) [],max_mid_band5b_1 (DPrepC) [],max_mid_band5b_1 (DPrepD) [],max_mid_band5b_2 (Ingest) [],max_mid_band5b_2 (RCAL) [],max_mid_band5b_2 (FastImg) [],max_mid_band5b_2 (ICAL) [],max_mid_band5b_2 (DPrepA) [],max_mid_band5b_2 (DPrepA_Image) [],max_mid_band5b_2 (DPrepB) [],max_mid_band5b_2 (DPrepC) [],max_mid_band5b_2 (DPrepD) []
Coalesce time bw4 [s],,0.9,0.9,0.9,0.9,0.9,0.9,,,0.9,0.9,0.9,0.9,0.9,0.9,,,0.9,0.9,0.9,0.9,0.9,0.9,,,0.9,0.9,,2.5200000000000005,0.8400000000000001,,2.5200000000000005,0.8400000000000001,,0.9,0.9,,2.5200000000000005,0.8400000000000001,,1.7085803790958276,0.8795891802054602,1.7085803790958276,1.139053586063885,1.139053586063885,0.6250349172239184,,1.7875466677938372,0.6901811852140548,1.340660000845378,0.8937733338969186,0.8937733338969186,0.5283846371315954,,,,,,,,,2.5200000000000005,,1.8200000000000003,0.8400000000000001,1.8200000000000003,1.12,1.12,,1.3126877377517578,0.8447260846207972,1.0939064481264649,1.0939064481264649,1.0939064481264649,,1.6332155825574557,0.8407908535861306,1.0888103883716371,1.0888103883716371,,2.5200000000000005,0.8400000000000001,2.1,2.9400000000000004,3.9200000000000004,,2.5200000000000005,0.8400000000000001,2.5200000000000005,2.9400000000000004,3.9200000000000004,,1.8200000000000003,0.8400000000000001,1.8200000000000003,1.12,2.9400000000000004,,1.8200000000000003,0.8400000000000001,2.1,1.12,1.12,,1.8200000000000003,0.8400000000000001,1.8200000000000003,1.12,1.12,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,,,3.22,0.8400000000000001,3.22,2.8000000000000003,2.8000000000000003,3.7800000000000002,3.22,,,2.5200000000000005,0.8400000000000001,2.5200000000000005,2.9400000000000004,2.9400000000000004,3.9200000000000004,2.1,,,2.24,0.8400000000000001,2.24,1.12,1.9600000000000002,1.9600000000000002,0.56,,,1.8200000000000003,0.8400000000000001,1.8200000000000003,1.12,1.12,1.12,0.56,,,1.8200000000000003,0.8400000000000001,1.8200000000000003,1.12,1.9600000000000002,1.12,0.56,,,1.4000000000000001,0.8400000000000001,1.4000000000000001,1.12,1.12,1.12,0.56,
Coalesce time bw5 [s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8200000000000003,0.56,,1.8200000000000003,0.56,,,,,1.8200000000000003,0.56,,1.139053586063885,0.6596918851540952,1.139053586063885,0.8542901895479138,0.8542901895479138,0.46877618791793874,,,,,,,,,,,,,,,,1.8200000000000003,,1.2600000000000002,0.56,1.2600000000000002,0.8400000000000001,0.8400000000000001,,0.8751251585011719,0.5068356507724784,0.6563438688758789,0.6563438688758789,0.6563438688758789,,,,,,,1.8200000000000003,0.56,1.54,2.1,2.8000000000000003,,1.8200000000000003,0.56,1.8200000000000003,2.1,2.8000000000000003,,1.2600000000000002,0.56,1.2600000000000002,0.8400000000000001,2.1,,1.2600000000000002,0.56,1.54,0.8400000000000001,0.8400000000000001,,1.2600000000000002,0.56,1.2600000000000002,0.8400000000000001,0.8400000000000001,,,,,,,,,,,2.24,0.56,2.24,1.9600000000000002,1.9600000000000002,2.66,2.24,,,1.8200000000000003,0.56,1.8200000000000003,2.1,2.1,2.8000000000000003,1.54,,,1.54,0.56,1.54,0.8400000000000001,1.4000000000000001,1.4000000000000001,0.42000000000000004,,,1.2600000000000002,0.56,1.2600000000000002,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.42000000000000004,,,1.2600000000000002,0.56,1.2600000000000002,0.8400000000000001,1.4000000000000001,0.8400000000000001,0.42000000000000004,,,0.9800000000000001,0.56,0.9800000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.42000000000000004,
Coalesce time bw6 [s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,0.42000000000000004,,1.12,0.42000000000000004,,,,,1.12,0.42000000000000004,,1.139053586063885,0.4397945901027301,1.139053586063885,0.5695267930319425,0.5695267930319425,0.3125174586119592,,,,,,,,,,,,,,,,1.12,,0.8400000000000001,0.42000000000000004,0.8400000000000001,0.42000000000000004,0.42000000000000004,,0.6563438688758789,0.3378904338483189,0.43756257925058595,0.43756257925058595,0.43756257925058595,,,,,,,1.12,0.28,0.9800000000000001,1.2600000000000002,1.6800000000000002,,1.12,0.28,1.12,1.2600000000000002,1.6800000000000002,,0.7000000000000001,0.28,0.7000000000000001,0.42000000000000004,1.2600000000000002,,0.8400000000000001,0.42000000000000004,0.9800000000000001,0.42000000000000004,0.42000000000000004,,0.8400000000000001,0.42000000000000004,0.8400000000000001,0.42000000000000004,0.42000000000000004,,,,,,,,,,,1.4000000000000001,0.28,1.4000000000000001,1.2600000000000002,1.2600000000000002,1.6800000000000002,1.4000000000000001,,,1.12,0.42000000000000004,1.12,1.2600000000000002,1.2600000000000002,1.8200000000000003,0.9800000000000001,,,0.9800000000000001,0.42000000000000004,0.9800000000000001,0.42000000000000004,0.8400000000000001,0.8400000000000001,0.28,,,0.8400000000000001,0.42000000000000004,0.8400000000000001,0.56,0.56,0.56,0.28,,,0.7000000000000001,0.28,0.7000000000000001,0.42000000000000004,0.8400000000000001,0.42000000000000004,0.28,,,0.56,0.42000000000000004,0.56,0.56,0.56,0.56,0.28,
Coalesce time bw7 [s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8400000000000001,0.28,,0.8400000000000001,0.28,,,,,0.8400000000000001,0.28,,,,,,,,,,,,,,,,,,,,,,,0.8400000000000001,,0.56,0.28,0.56,0.28,0.28,,,,,,,,,,,,,0.8400000000000001,0.28,0.7000000000000001,0.9800000000000001,1.2600000000000002,,0.8400000000000001,0.28,0.8400000000000001,0.9800000000000001,1.2600000000000002,,0.56,0.28,0.56,0.28,0.9800000000000001,,0.56,0.28,0.7000000000000001,0.28,0.28,,0.56,0.28,0.56,0.28,0.28,,,,,,,,,,,0.9800000000000001,0.28,0.9800000000000001,0.8400000000000001,0.8400000000000001,1.2600000000000002,0.9800000000000001,,,0.8400000000000001,0.28,0.8400000000000001,0.9800000000000001,0.9800000000000001,1.2600000000000002,0.7000000000000001,,,0.7000000000000001,0.28,0.7000000000000001,0.28,0.56,0.56,0.14,,,0.56,0.28,0.56,0.28,0.28,0.28,0.14,,,0.56,0.28,0.56,0.28,0.56,0.28,0.14,,,0.42000000000000004,0.28,0.42000000000000004,0.28,0.28,0.28,0.14,
Coalesce time bw8 [s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7000000000000001,0.14,,0.7000000000000001,0.14,,,,,0.7000000000000001,0.14,,,,,,,,,,,,,,,,,,,,,,,0.7000000000000001,,0.42000000000000004,0.14,0.42000000000000004,0.28,0.28,,,,,,,,,,,,,0.7000000000000001,0.14,0.56,0.7000000000000001,0.9800000000000001,,0.7000000000000001,0.14,0.7000000000000001,0.7000000000000001,0.9800000000000001,,0.42000000000000004,0.14,0.42000000000000004,0.28,0.7000000000000001,,0.42000000000000004,0.14,0.56,0.28,0.28,,0.42000000000000004,0.14,0.42000000000000004,0.28,0.28,,,,,,,,,,,0.8400000000000001,0.14,0.8400000000000001,0.7000000000000001,0.7000000000000001,0.9800000000000001,0.8400000000000001,,,0.7000000000000001,0.14,0.7000000000000001,0.8400000000000001,0.8400000000000001,1.12,0.56,,,0.56,0.14,0.56,0.28,0.56,0.56,0.14,,,0.42000000000000004,0.14,0.42000000000000004,0.28,0.28,0.28,0.14,,,0.42000000000000004,0.14,0.42000000000000004,0.28,0.42000000000000004,0.28,0.14,,,0.42000000000000004,0.14,0.42000000000000004,0.28,0.28,0.28,0.14,
Coalesce time bw9 [s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,0.14,,0.56,0.14,,,,,0.56,0.14,,,,,,,,,,,,,,,,,,,,,,,0.56,,0.42000000000000004,0.14,0.42000000000000004,0.14,0.14,,,,,,,,,,,,,0.56,0.14,0.42000000000000004,0.56,0.8400000000000001,,0.56,0.14,0.56,0.56,0.8400000000000001,,0.42000000000000004,0.14,0.42000000000000004,0.28,0.7000000000000001,,0.42000000000000004,0.14,0.42000000000000004,0.14,0.14,,0.42000000000000004,0.14,0.42000000000000004,0.14,0.14,,,,,,,,,,,0.7000000000000001,0.14,0.7000000000000001,0.56,0.56,0.8400000000000001,0.7000000000000001,,,0.56,0.14,0.56,0.56,0.56,0.8400000000000001,0.42000000000000004,,,0.42000000000000004,0.14,0.42000000000000004,0.14,0.42000000000000004,0.42000000000000004,0.14,,,0.42000000000000004,0.14,0.42000000000000004,0.28,0.28,0.28,0.14,,,0.28,0.14,0.28,0.14,0.42000000000000004,0.14,0.14,,,0.28,0.14,0.28,0.28,0.28,0.28,0.14,
Coalesce time bw10 [s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42000000000000004,0.14,,0.42000000000000004,0.14,,,,,0.42000000000000004,0.14,,,,,,,,,,,,,,,,,,,,,,,0.42000000000000004,,0.28,0.14,0.28,0.14,0.14,,,,,,,,,,,,,0.42000000000000004,0.14,0.42000000000000004,0.56,0.7000000000000001,,0.42000000000000004,0.14,0.42000000000000004,0.56,0.7000000000000001,,,,,,,,0.28,0.14,0.42000000000000004,0.14,0.14,,0.28,0.14,0.28,0.14,0.14,,,,,,,,,,,0.56,0.14,0.56,0.56,0.56,0.7000000000000001,0.56,,,0.42000000000000004,0.14,0.42000000000000004,0.56,0.56,0.7000000000000001,0.42000000000000004,,,0.42000000000000004,0.14,0.42000000000000004,0.14,0.28,0.28,0.14,,,0.28,0.14,0.28,0.14,0.14,0.14,0.14,,,0.28,0.14,0.28,0.14,0.28,0.14,0.14,,,0.28,0.14,0.28,0.14,0.14,0.14,0.14,
Coalesce time bw11 [s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42000000000000004,0.14,,0.42000000000000004,0.14,,,,,0.42000000000000004,0.14,,,,,,,,,,,,,,,,,,,,,,,0.42000000000000004,,0.28,0.14,0.28,0.14,0.14,,,,,,,,,,,,,0.42000000000000004,0.14,0.28,0.42000000000000004,0.56,,0.42000000000000004,0.14,0.42000000000000004,0.42000000000000004,0.56,,,,,,,,0.28,0.14,0.28,0.14,0.14,,0.28,0.14,0.28,0.14,0.14,,,,,,,,,,,0.42000000000000004,0.14,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.56,0.42000000000000004,,,0.42000000000000004,0.14,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.56,0.28,,,0.28,0.14,0.28,0.14,0.28,0.28,0.14,,,0.28,0.14,0.28,0.14,0.14,0.14,0.14,,,0.28,0.14,0.28,0.14,0.28,0.14,0.14,,,0.14,0.14,0.14,0.14,0.14,0.14,0.14,
Combined samples full0,31.0,11.0,16.0,11.0,31.0,31.0,16.0,16.0,31.0,11.0,16.0,17.0,31.0,31.0,16.0,16.0,31.0,11.0,16.0,17.0,31.0,31.0,16.0,16.0,31.0,11.0,16.0,43.0,16.0,33.0,43.0,16.0,33.0,31.0,11.0,16.0,43.0,16.0,33.0,21.0,8.0,21.0,8.0,21.0,21.0,21.0,13.0,4.0,13.0,7.0,13.0,13.0,13.0,8.0,3.0,8.0,4.0,8.0,8.0,8.0,43.0,16.0,43.0,16.0,33.0,16.0,43.0,43.0,27.0,10.0,27.0,27.0,27.0,27.0,10.0,3.0,10.0,10.0,10.0,42.0,15.0,32.0,23.0,42.0,42.0,42.0,15.0,32.0,15.0,42.0,42.0,42.0,15.0,32.0,15.0,42.0,42.0,43.0,15.0,33.0,23.0,43.0,43.0,43.0,15.0,33.0,15.0,43.0,43.0,31.0,11.0,16.0,11.0,31.0,31.0,31.0,16.0,16.0,41.0,15.0,32.0,15.0,41.0,41.0,41.0,23.0,23.0,43.0,16.0,33.0,16.0,43.0,43.0,43.0,23.0,23.0,43.0,16.0,33.0,16.0,43.0,43.0,43.0,23.0,23.0,44.0,16.0,34.0,16.0,44.0,44.0,44.0,24.0,24.0,42.0,15.0,32.0,15.0,42.0,42.0,42.0,23.0,23.0,44.0,16.0,34.0,16.0,44.0,44.0,44.0,24.0,24.0
Combined samples full1,15.0,5.0,8.0,5.0,15.0,15.0,8.0,8.0,15.0,5.0,8.0,8.0,15.0,15.0,8.0,8.0,15.0,5.0,8.0,8.0,15.0,15.0,8.0,8.0,15.0,5.0,8.0,29.0,10.0,22.0,28.0,10.0,22.0,15.0,5.0,8.0,28.0,10.0,22.0,14.0,5.0,14.0,5.0,14.0,14.0,14.0,9.0,3.0,9.0,4.0,9.0,9.0,9.0,5.0,2.0,5.0,3.0,5.0,5.0,5.0,29.0,10.0,29.0,10.0,22.0,10.0,29.0,29.0,18.0,6.0,18.0,18.0,18.0,18.0,7.0,2.0,7.0,7.0,7.0,28.0,10.0,21.0,15.0,28.0,28.0,28.0,10.0,21.0,10.0,28.0,28.0,28.0,10.0,21.0,10.0,28.0,28.0,28.0,10.0,22.0,15.0,28.0,28.0,28.0,10.0,22.0,10.0,28.0,28.0,15.0,5.0,8.0,5.0,15.0,15.0,15.0,8.0,8.0,27.0,10.0,21.0,10.0,27.0,27.0,27.0,15.0,15.0,28.0,10.0,22.0,10.0,28.0,28.0,28.0,15.0,15.0,28.0,10.0,22.0,10.0,28.0,28.0,28.0,15.0,15.0,29.0,10.0,22.0,10.0,29.0,29.0,29.0,16.0,16.0,28.0,10.0,21.0,10.0,28.0,28.0,28.0,15.0,15.0,29.0,10.0,22.0,10.0,29.0,29.0,29.0,16.0,16.0
Combined samples full2,7.0,2.0,4.0,2.0,7.0,7.0,4.0,4.0,7.0,2.0,4.0,4.0,7.0,7.0,4.0,4.0,7.0,2.0,4.0,4.0,7.0,7.0,4.0,4.0,7.0,2.0,4.0,21.0,8.0,16.0,21.0,8.0,16.0,7.0,2.0,4.0,21.0,8.0,16.0,10.0,4.0,10.0,4.0,10.0,10.0,10.0,6.0,2.0,6.0,3.0,6.0,6.0,6.0,4.0,1.0,4.0,2.0,4.0,4.0,4.0,21.0,8.0,21.0,8.0,16.0,8.0,21.0,21.0,13.0,5.0,13.0,13.0,13.0,13.0,5.0,1.0,5.0,5.0,5.0,21.0,7.0,16.0,11.0,21.0,21.0,21.0,7.0,16.0,7.0,21.0,21.0,21.0,7.0,16.0,7.0,21.0,21.0,21.0,7.0,16.0,11.0,21.0,21.0,21.0,7.0,16.0,7.0,21.0,21.0,7.0,2.0,4.0,2.0,7.0,7.0,7.0,4.0,4.0,20.0,7.0,16.0,7.0,20.0,20.0,20.0,11.0,11.0,21.0,8.0,16.0,8.0,21.0,21.0,21.0,11.0,11.0,21.0,8.0,16.0,8.0,21.0,21.0,21.0,11.0,11.0,22.0,8.0,17.0,8.0,22.0,22.0,22.0,12.0,12.0,21.0,7.0,16.0,7.0,21.0,21.0,21.0,11.0,11.0,22.0,8.0,17.0,8.0,22.0,22.0,22.0,12.0,12.0
Combined samples full3,3.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,14.0,5.0,11.0,14.0,5.0,11.0,3.0,1.0,2.0,14.0,5.0,11.0,7.0,2.0,7.0,2.0,7.0,7.0,7.0,4.0,1.0,4.0,2.0,4.0,4.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,14.0,5.0,14.0,5.0,11.0,5.0,14.0,14.0,9.0,3.0,9.0,9.0,9.0,9.0,3.0,1.0,3.0,3.0,3.0,14.0,5.0,10.0,7.0,14.0,14.0,14.0,5.0,10.0,5.0,14.0,14.0,14.0,5.0,10.0,5.0,14.0,14.0,14.0,5.0,11.0,7.0,14.0,14.0,14.0,5.0,11.0,5.0,14.0,14.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,13.0,5.0,10.0,5.0,13.0,13.0,13.0,7.0,7.0,14.0,5.0,11.0,5.0,14.0,14.0,14.0,7.0,7.0,14.0,5.0,11.0,5.0,14.0,14.0,14.0,7.0,7.0,14.0,5.0,11.0,5.0,14.0,14.0,14.0,8.0,8.0,14.0,5.0,10.0,5.0,14.0,14.0,14.0,7.0,7.0,14.0,5.0,11.0,5.0,14.0,14.0,14.0,8.0,8.0
Combined samples full4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,3.0,6.0,8.0,3.0,6.0,1.0,1.0,1.0,8.0,3.0,6.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,,,,,,,,8.0,3.0,8.0,3.0,6.0,3.0,8.0,8.0,5.0,2.0,5.0,5.0,5.0,5.0,2.0,1.0,2.0,2.0,2.0,8.0,3.0,6.0,4.0,8.0,8.0,8.0,3.0,6.0,3.0,8.0,8.0,8.0,3.0,6.0,3.0,8.0,8.0,8.0,3.0,6.0,4.0,8.0,8.0,8.0,3.0,6.0,3.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,3.0,6.0,3.0,8.0,8.0,8.0,4.0,4.0,8.0,3.0,6.0,3.0,8.0,8.0,8.0,4.0,4.0,8.0,3.0,6.0,3.0,8.0,8.0,8.0,4.0,4.0,8.0,3.0,6.0,3.0,8.0,8.0,8.0,4.0,4.0,8.0,3.0,6.0,3.0,8.0,8.0,8.0,4.0,4.0,8.0,3.0,6.0,3.0,8.0,8.0,8.0,4.0,4.0
Combined samples full5,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2.0,4.0,6.0,2.0,4.0,,,,6.0,2.0,4.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,,,,,,,,,,,,,,,6.0,2.0,6.0,2.0,4.0,2.0,6.0,6.0,3.0,1.0,3.0,3.0,3.0,3.0,,,,,,6.0,2.0,4.0,3.0,6.0,6.0,6.0,2.0,4.0,2.0,6.0,6.0,6.0,2.0,4.0,2.0,6.0,6.0,6.0,2.0,4.0,3.0,6.0,6.0,6.0,2.0,4.0,2.0,6.0,6.0,,,,,,,,,,5.0,2.0,4.0,2.0,5.0,5.0,5.0,3.0,3.0,6.0,2.0,4.0,2.0,6.0,6.0,6.0,3.0,3.0,6.0,2.0,4.0,2.0,6.0,6.0,6.0,3.0,3.0,6.0,2.0,4.0,2.0,6.0,6.0,6.0,3.0,3.0,6.0,2.0,4.0,2.0,6.0,6.0,6.0,3.0,3.0,6.0,2.0,4.0,2.0,6.0,6.0,6.0,3.0,3.0
Combined samples full6,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,3.0,3.0,1.0,3.0,,,,3.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,3.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,,,,,,3.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,,,,,,,,,,3.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,4.0,1.0,3.0,1.0,4.0,4.0,4.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,4.0,1.0,3.0,1.0,4.0,4.0,4.0,2.0,2.0
Combined samples full7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,2.0,1.0,2.0,,,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,,,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0
Combined samples full8,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,2.0,1.0,1.0,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
