,Ingest (Mid5a) [],RCAL (Mid5a) [],FastImg (Mid5a) [],ICAL (Mid5a) [],DPrepA (Mid5a) [],DPrepA_Image (Mid5a) [],DPrepB (Mid5a) [],DPrepC (Mid5a) [],DPrepD (Mid5a) [],PSS (Mid5a) [],PST (Mid5a) [],Pulse (Mid5a) [],Ingest (Mid2) [],RCAL (Mid2) [],FastImg (Mid2) [],ICAL (Mid2) [],DPrepA (Mid2) [],DPrepA_Image (Mid2) [],DPrepB (Mid2) [],DPrepC (Mid2) [],DPrepD (Mid2) [],PSS (Mid2) [],PST (Mid2) [],Pulse (Mid2) [],Ingest (Mid5b) [],RCAL (Mid5b) [],FastImg (Mid5b) [],ICAL (Mid5b) [],DPrepA (Mid5b) [],DPrepA_Image (Mid5b) [],DPrepB (Mid5b) [],DPrepC (Mid5b) [],DPrepD (Mid5b) [],PSS (Mid5b) [],PST (Mid5b) [],Pulse (Mid5b) [],Ingest (Mid1) [],RCAL (Mid1) [],FastImg (Mid1) [],ICAL (Mid1) [],DPrepA (Mid1) [],DPrepA_Image (Mid1) [],DPrepB (Mid1) [],DPrepC (Mid1) [],DPrepD (Mid1) [],PSS (Mid1) [],PST (Mid1) [],Pulse (Mid1) [],Ingest (Low) [],RCAL (Low) [],FastImg (Low) [],ICAL (Low) [],DPrepA (Low) [],DPrepA_Image (Low) [],DPrepB (Low) [],DPrepC (Low) [],DPrepD (Low) [],PSS (Low) [],PST (Low) [],Pulse (Low) []
Baseline fraction [per bin]8 [%],1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,1.8030153905174655,,,,,,,,,,,,
Baseline fraction [per bin]9 [%],1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,1.4507020404163513,,,,,,,,,,,,
Baseline fraction [per bin]10 [%],0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,0.10880265303122637,,,,,,,,,,,,
Baseline fraction [per bin]11 [%],0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,0.04662970831338273,,,,,,,,,,,,
-- Image --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facet FoV size [deg],(undefined),0.37305385133426067,0.5757003878615135,0.37305385133426067,0.5757003878615135,0.5757003878615135,0.5757003878615135,0.5757003878615135,(undefined),(undefined),(undefined),(undefined),(undefined),1.2896443698627305,2.7862687003207136,1.2896443698627305,1.1145074801282855,1.1145074801282855,2.7862687003207136,1.1145074801282855,(undefined),(undefined),(undefined),(undefined),(undefined),0.20659673076546664,0.31882211537880656,0.20659673076546664,0.31882211537880656,0.31882211537880656,0.31882211537880656,0.31882211537880656,(undefined),(undefined),(undefined),(undefined),(undefined),2.440460697760725,6.779057493779791,2.440460697760725,2.711622997511917,2.711622997511917,2.711622997511917,2.0337172481339376,(undefined),(undefined),(undefined),(undefined),(undefined),39.08035431440457,14.474205301631324,39.08035431440457,14.474205301631324,14.474205301631324,14.474205301631324,14.474205301631324,(undefined),(undefined),(undefined),(undefined)
Total FoV size [deg],0.5757003878615135,1.554391047226086,0.5757003878615135,1.554391047226086,0.5757003878615135,0.5757003878615135,0.5757003878615135,0.5757003878615135,0.5757003878615135,(undefined),(undefined),(undefined),2.7862687003207136,7.522925490865928,2.7862687003207136,7.522925490865928,2.7862687003207136,2.7862687003207136,2.7862687003207136,2.7862687003207136,2.7862687003207136,(undefined),(undefined),(undefined),0.31882211537880656,0.8608197115227776,0.31882211537880656,0.8608197115227776,0.31882211537880656,0.31882211537880656,0.31882211537880656,0.31882211537880656,0.31882211537880656,(undefined),(undefined),(undefined),6.77905749377979,18.303455233205437,6.77905749377979,18.303455233205437,6.77905749377979,6.77905749377979,6.77905749377979,6.77905749377979,6.77905749377979,(undefined),(undefined),(undefined),14.474205301631324,39.08035431440457,14.474205301631324,39.08035431440457,14.474205301631324,14.474205301631324,14.474205301631324,14.474205301631324,14.474205301631324,(undefined),(undefined),(undefined)
PSF size [arcs],0.0935118960875749,0.0935118960875749,0.0935118960875749,0.0935118960875749,0.0935118960875749,0.0935118960875749,0.0935118960875749,0.0935118960875749,0.0935118960875749,(undefined),(undefined),(undefined),0.4521862453469646,0.4521862453469646,0.4521862453469646,0.4521862453469646,0.4521862453469646,0.4521862453469646,0.4521862453469646,0.4521862453469646,0.4521862453469646,(undefined),(undefined),(undefined),0.05171600099774931,0.05171600099774931,0.05171600099774931,0.05171600099774931,0.05171600099774931,0.05171600099774931,0.05171600099774931,0.05171600099774931,0.05171600099774931,(undefined),(undefined),(undefined),1.026706652111203,1.026706652111203,1.026706652111203,1.026706652111203,1.026706652111203,1.026706652111203,1.026706652111203,1.026706652111203,1.026706652111203,(undefined),(undefined),(undefined),14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,(undefined),(undefined),(undefined)
Pixel size [arcs],0.01870237921751498,0.01870237921751498,0.031170632029191632,0.01870237921751498,0.01870237921751498,0.01870237921751498,0.01870237921751498,0.01870237921751498,0.01870237921751498,(undefined),(undefined),(undefined),0.09043724906939292,0.09043724906939292,0.1507287484489882,0.09043724906939292,0.09043724906939292,0.09043724906939292,0.09043724906939292,0.09043724906939292,0.09043724906939292,(undefined),(undefined),(undefined),0.010343200199549863,0.010343200199549863,0.01723866699924977,0.010343200199549863,0.010343200199549863,0.010343200199549863,0.010343200199549863,0.010343200199549863,0.010343200199549863,(undefined),(undefined),(undefined),0.20534133042224062,0.20534133042224062,0.34223555070373435,0.20534133042224062,0.20534133042224062,0.20534133042224062,0.20534133042224062,0.20534133042224062,0.20534133042224062,(undefined),(undefined),(undefined),2.838451875895895,2.838451875895895,4.730753126493159,2.838451875895895,2.838451875895895,2.838451875895895,2.838451875895895,2.838451875895895,2.838451875895895,(undefined),(undefined),(undefined)
Facet side length [pixels],(undefined),71808.71744626,66489.55319098149,71808.71744626,110815.92198496914,110815.92198496914,110815.92198496914,110815.92198496914,(undefined),(undefined),(undefined),(undefined),(undefined),51336.366146469685,66547.14130097922,51336.366146469685,44364.76086731948,44364.76086731948,110911.9021682987,44364.76086731948,(undefined),(undefined),(undefined),(undefined),(undefined),71906.9742832637,66580.53174376268,71906.9742832637,110967.55290627113,110967.55290627113,110967.55290627113,110967.55290627113,(undefined),(undefined),(undefined),(undefined),(undefined),42785.63158168294,71309.38596947156,42785.63158168294,47539.59064631437,47539.59064631437,47539.59064631437,35654.69298473578,(undefined),(undefined),(undefined),(undefined),(undefined),49565.49615182431,11014.554700405399,49565.49615182431,18357.591167342336,18357.591167342336,18357.591167342336,18357.591167342336,(undefined),(undefined),(undefined),(undefined)
Image side length [pixels],110815.92198496914,299202.98935941665,66489.55319098149,299202.98935941665,110815.92198496914,110815.92198496914,110815.92198496914,110815.92198496914,110815.92198496914,(undefined),(undefined),(undefined),110911.90216829868,299462.1358544065,66547.14130097922,299462.1358544065,110911.90216829868,110911.90216829868,110911.90216829868,110911.90216829868,110911.90216829868,(undefined),(undefined),(undefined),110967.55290627113,299612.39284693205,66580.5317437627,299612.39284693205,110967.55290627113,110967.55290627113,110967.55290627113,110967.55290627113,110967.55290627113,(undefined),(undefined),(undefined),118848.97661578593,320892.236862622,71309.38596947156,320892.236862622,118848.97661578593,118848.97661578593,118848.97661578593,118848.97661578593,118848.97661578593,(undefined),(undefined),(undefined),18357.591167342336,49565.4961518243,11014.5547004054,49565.4961518243,18357.591167342336,18357.591167342336,18357.591167342336,18357.591167342336,18357.591167342336,(undefined),(undefined),(undefined)
Grid side dimension [lambda],11028800.338618262,11028800.338618262,6617280.203170958,11028800.338618262,11028800.338618262,11028800.338618262,11028800.338618262,11028800.338618262,11028800.338618262,(undefined),(undefined),(undefined),2280750.557647197,2280750.557647197,1368450.3345883181,2280750.557647197,2280750.557647197,2280750.557647197,2280750.557647197,2280750.557647197,2280750.557647197,(undefined),(undefined),(undefined),19942068.437974643,19942068.437974643,11965241.062784787,19942068.437974643,19942068.437974643,19942068.437974643,19942068.437974643,19942068.437974643,19942068.437974643,(undefined),(undefined),(undefined),1004497.2720443411,1004497.2720443411,602698.3632266046,1004497.2720443411,1004497.2720443411,1004497.2720443411,1004497.2720443411,1004497.2720443411,1004497.2720443411,(undefined),(undefined),(undefined),72668.06529245574,72668.06529245574,43600.83917547343,72668.06529245574,72668.06529245574,72668.06529245574,72668.06529245574,72668.06529245574,72668.06529245574,(undefined),(undefined),(undefined)
Baselines dimension [lambda],6617280.203170958,6617280.203170958,6617280.203170958,6617280.203170958,6617280.203170958,6617280.203170958,6617280.203170958,6617280.203170958,6617280.203170958,(undefined),(undefined),(undefined),1368450.3345883186,1368450.3345883186,1368450.3345883186,1368450.3345883186,1368450.3345883186,1368450.3345883186,1368450.3345883186,1368450.3345883186,1368450.3345883186,(undefined),(undefined),(undefined),11965241.062784787,11965241.062784787,11965241.062784787,11965241.062784787,11965241.062784787,11965241.062784787,11965241.062784787,11965241.062784787,11965241.062784787,(undefined),(undefined),(undefined),602698.3632266046,602698.3632266046,602698.3632266046,602698.3632266046,602698.3632266046,602698.3632266046,602698.3632266046,602698.3632266046,602698.3632266046,(undefined),(undefined),(undefined),43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,(undefined),(undefined),(undefined)
Epsilon (approx),0.4441757193189375,0.4441757193189375,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.24373333911071637,(undefined),(undefined),(undefined),0.4441757193189375,0.4441757193189375,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.24373333911071637,(undefined),(undefined),(undefined),0.4441757193189375,0.4441757193189375,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.24373333911071637,(undefined),(undefined),(undefined),0.4441757193189375,0.4441757193189375,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.24373333911071637,(undefined),(undefined),(undefined),0.6666666666666672,0.6666666666666672,0.342997170285018,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.342997170285018,(undefined),(undefined),(undefined)
Qbw,3.309501028678418,3.309501028678418,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,6.031181476294671,(undefined),(undefined),(undefined),3.309501028678418,3.309501028678418,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,6.031181476294671,(undefined),(undefined),(undefined),3.309501028678418,3.309501028678418,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,6.031181476294671,(undefined),(undefined),(undefined),3.309501028678418,3.309501028678418,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,6.031181476294671,(undefined),(undefined),(undefined),2.2049999999999983,2.2049999999999983,4.285749642711291,2.2049999999999983,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,4.285749642711291,(undefined),(undefined),(undefined)
Max subband ratio,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35
Number subbands,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
Station/antenna diameter,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,38,38,38,38,38,38,38,38,38,38,38,38
-- Time Coalescing --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ionospheric timescale [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Coalesce time full0 [s],6.0200000000000005,2.24,4.62,2.24,6.0200000000000005,6.0200000000000005,6.0200000000000005,3.22,3.22,(undefined),(undefined),(undefined),6.0200000000000005,2.24,4.62,2.24,6.0200000000000005,6.0200000000000005,6.0200000000000005,3.22,3.22,(undefined),(undefined),(undefined),6.0200000000000005,2.24,4.62,2.24,6.0200000000000005,6.0200000000000005,6.0200000000000005,3.22,3.22,(undefined),(undefined),(undefined),5.74,2.1,4.48,2.1,5.74,5.74,5.74,3.22,3.22,(undefined),(undefined),(undefined),29.7,10.8,15.3,10.8,29.7,29.7,29.7,15.3,15.3,(undefined),(undefined),(undefined)
Coalesce time full1 [s],3.9200000000000004,1.4000000000000001,3.08,1.4000000000000001,3.9200000000000004,3.9200000000000004,3.9200000000000004,2.1,2.1,,,,3.9200000000000004,1.4000000000000001,3.08,1.4000000000000001,3.9200000000000004,3.9200000000000004,3.9200000000000004,2.1,2.1,,,,3.9200000000000004,1.4000000000000001,3.08,1.4000000000000001,3.9200000000000004,3.9200000000000004,3.9200000000000004,2.1,2.1,,,,3.7800000000000002,1.4000000000000001,2.9400000000000004,1.4000000000000001,3.7800000000000002,3.7800000000000002,3.7800000000000002,2.1,2.1,,,,14.4,5.4,7.2,5.4,14.4,14.4,14.4,7.2,7.2,,,
Coalesce time full2 [s],2.9400000000000004,1.12,2.24,1.12,2.9400000000000004,2.9400000000000004,2.9400000000000004,1.54,1.54,,,,2.9400000000000004,1.12,2.24,1.12,2.9400000000000004,2.9400000000000004,2.9400000000000004,1.54,1.54,,,,2.9400000000000004,1.12,2.24,1.12,2.9400000000000004,2.9400000000000004,2.9400000000000004,1.54,1.54,,,,2.8000000000000003,0.9800000000000001,2.24,0.9800000000000001,2.8000000000000003,2.8000000000000003,2.8000000000000003,1.54,1.54,,,,7.2,2.7,3.6,2.7,7.2,7.2,7.2,3.6,3.6,,,
Coalesce time full3 [s],1.9600000000000002,0.7000000000000001,1.54,0.7000000000000001,1.9600000000000002,1.9600000000000002,1.9600000000000002,0.9800000000000001,0.9800000000000001,,,,1.9600000000000002,0.7000000000000001,1.54,0.7000000000000001,1.9600000000000002,1.9600000000000002,1.9600000000000002,0.9800000000000001,0.9800000000000001,,,,1.9600000000000002,0.7000000000000001,1.54,0.7000000000000001,1.9600000000000002,1.9600000000000002,1.9600000000000002,0.9800000000000001,0.9800000000000001,,,,1.8200000000000003,0.7000000000000001,1.4000000000000001,0.7000000000000001,1.8200000000000003,1.8200000000000003,1.8200000000000003,0.9800000000000001,0.9800000000000001,,,,3.6,0.9,1.8,0.9,3.6,3.6,3.6,1.8,1.8,,,
Coalesce time full4 [s],1.12,0.42000000000000004,0.8400000000000001,0.42000000000000004,1.12,1.12,1.12,0.56,0.56,,,,1.12,0.42000000000000004,0.8400000000000001,0.42000000000000004,1.12,1.12,1.12,0.56,0.56,,,,1.12,0.42000000000000004,0.8400000000000001,0.42000000000000004,1.12,1.12,1.12,0.56,0.56,,,,1.12,0.42000000000000004,0.8400000000000001,0.42000000000000004,1.12,1.12,1.12,0.56,0.56,,,,1.8,0.9,0.9,0.9,1.8,1.8,1.8,0.9,0.9,,,
Coalesce time full5 [s],0.8400000000000001,0.28,0.56,0.28,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.42000000000000004,0.42000000000000004,,,,0.8400000000000001,0.28,0.56,0.28,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.42000000000000004,0.42000000000000004,,,,0.8400000000000001,0.28,0.56,0.28,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.42000000000000004,0.42000000000000004,,,,0.7000000000000001,0.28,0.56,0.28,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.42000000000000004,0.42000000000000004,,,,,,,,,,,,,,,
Coalesce time full6 [s],0.42000000000000004,0.14,0.42000000000000004,0.14,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.28,0.28,,,,0.42000000000000004,0.14,0.42000000000000004,0.14,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.28,0.28,,,,0.42000000000000004,0.14,0.42000000000000004,0.14,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.28,0.28,,,,0.42000000000000004,0.14,0.28,0.14,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.28,0.28,,,,,,,,,,,,,,,
Coalesce time full7 [s],0.28,0.14,0.28,0.14,0.28,0.28,0.28,0.14,0.14,,,,0.28,0.14,0.28,0.14,0.28,0.28,0.28,0.14,0.14,,,,0.28,0.14,0.28,0.14,0.28,0.28,0.28,0.14,0.14,,,,0.28,0.14,0.28,0.14,0.28,0.28,0.28,0.14,0.14,,,,,,,,,,,,,,,
Coalesce time full8 [s],0.28,0.14,0.14,0.14,0.28,0.28,0.28,0.14,0.14,,,,0.28,0.14,0.14,0.14,0.28,0.28,0.28,0.14,0.14,,,,0.28,0.14,0.14,0.14,0.28,0.28,0.28,0.14,0.14,,,,0.28,0.14,0.14,0.14,0.28,0.28,0.28,0.14,0.14,,,,,,,,,,,,,,,
Coalesce time full9 [s],0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,,,,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,,,,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,,,,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,,,,,,,,,,,,,,,
Coalesce time full10 [s],0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,,,,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,,,,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,,,,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,,,,,,,,,,,,,,,
Coalesce time full11 [s],0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,,,,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,,,,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,,,,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,,,,,,,,,,,,,,,
Coalesce time pred0 [s],(undefined),9.38,4.62,9.38,6.0200000000000005,6.0200000000000005,6.0200000000000005,3.22,(undefined),(undefined),(undefined),(undefined),(undefined),10.0,4.62,10.0,10.0,10.0,6.0200000000000005,8.260000000000002,(undefined),(undefined),(undefined),(undefined),(undefined),9.38,4.62,9.38,6.0200000000000005,6.0200000000000005,6.0200000000000005,3.22,(undefined),(undefined),(undefined),(undefined),(undefined),10.0,4.48,10.0,10.0,10.0,10.0,10.0,(undefined),(undefined),(undefined),(undefined),(undefined),10.0,10.0,10.0,10.0,10.0,10.0,10.0,(undefined),(undefined),(undefined),(undefined)
Coalesce time pred1 [s],,6.16,3.08,6.16,3.9200000000000004,3.9200000000000004,3.9200000000000004,2.1,,,,,,8.680000000000001,3.08,8.680000000000001,10.0,10.0,3.9200000000000004,5.460000000000001,,,,,,6.16,3.08,6.16,3.9200000000000004,3.9200000000000004,3.9200000000000004,2.1,,,,,,10.0,2.9400000000000004,10.0,9.66,9.66,9.66,7.140000000000001,,,,,,5.4,7.2,5.4,10.0,10.0,10.0,7.2,,,,
Coalesce time pred2 [s],,4.62,2.24,4.62,2.9400000000000004,2.9400000000000004,2.9400000000000004,1.54,,,,,,6.44,2.24,6.44,7.5600000000000005,7.5600000000000005,2.9400000000000004,4.0600000000000005,,,,,,4.62,2.24,4.62,2.9400000000000004,2.9400000000000004,2.9400000000000004,1.54,,,,,,8.120000000000001,2.24,8.120000000000001,7.280000000000001,7.280000000000001,7.280000000000001,5.32,,,,,,2.7,3.6,2.7,7.2,7.2,7.2,3.6,,,,
Coalesce time pred3 [s],,3.08,1.54,3.08,1.9600000000000002,1.9600000000000002,1.9600000000000002,0.9800000000000001,,,,,,4.340000000000001,1.54,4.340000000000001,5.040000000000001,5.040000000000001,1.9600000000000002,2.66,,,,,,3.08,1.54,3.08,1.9600000000000002,1.9600000000000002,1.9600000000000002,0.9800000000000001,,,,,,5.32,1.4000000000000001,5.32,4.760000000000001,4.760000000000001,4.760000000000001,3.5000000000000004,,,,,,0.9,1.8,0.9,3.6,3.6,3.6,1.8,,,,
Coalesce time pred4 [s],,1.8200000000000003,0.8400000000000001,1.8200000000000003,1.12,1.12,1.12,0.56,,,,,,2.5200000000000005,0.8400000000000001,2.5200000000000005,2.9400000000000004,2.9400000000000004,1.12,1.54,,,,,,1.8200000000000003,0.8400000000000001,1.8200000000000003,1.12,1.12,1.12,0.56,,,,,,3.22,0.8400000000000001,3.22,2.8000000000000003,2.8000000000000003,2.8000000000000003,2.1,,,,,,0.9,0.9,0.9,1.8,1.8,1.8,0.9,,,,
Coalesce time pred5 [s],,1.2600000000000002,0.56,1.2600000000000002,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.42000000000000004,,,,,,1.8200000000000003,0.56,1.8200000000000003,2.1,2.1,0.8400000000000001,1.12,,,,,,1.2600000000000002,0.56,1.2600000000000002,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.42000000000000004,,,,,,2.24,0.56,2.24,1.9600000000000002,1.9600000000000002,1.9600000000000002,1.4000000000000001,,,,,,,,,,,,,,,,
