,max_LOW_continuum [!otf] [blcoal] [spbf],max_LOW_spectral [!otf] [blcoal] [spbf],max_MID_continuum [!otf] [blcoal] [spbf],max_MID_spectral [!otf] [blcoal] [spbf],max_Band5_MID_continuum [!otf] [blcoal] [spbf],max_Band5_MID_spectral [!otf] [blcoal] [spbf],01ICAL [!otf] [blcoal] [spbf],01DPrepA [!otf] [blcoal] [spbf],01DPrepB [!otf] [blcoal] [spbf],01DPrepC [!otf] [blcoal] [spbf],02AICAL [!otf] [blcoal] [spbf],02ADPrepA [!otf] [blcoal] [spbf],02ADPrepB [!otf] [blcoal] [spbf],02ADPrepC [!otf] [blcoal] [spbf],02BICAL [!otf] [blcoal] [spbf],02BDPrepA [!otf] [blcoal] [spbf],02BDPrepB [!otf] [blcoal] [spbf],02BDPrepC [!otf] [blcoal] [spbf],13ICAL [!otf] [blcoal] [spbf] [Bmax=40000],13DPrepA [!otf] [blcoal] [spbf] [Bmax=40000],13DPrepB [!otf] [blcoal] [spbf] [Bmax=40000],13DPrepC [!otf] [blcoal] [spbf] [Bmax=40000],14ICAL [!otf] [blcoal] [spbf] [Bmax=25000],14DPrepA [!otf] [blcoal] [spbf] [Bmax=25000],14DPrepB [!otf] [blcoal] [spbf] [Bmax=25000],14DPrepC [!otf] [blcoal] [spbf] [Bmax=25000],15ICAL [!otf] [blcoal] [spbf] [Bmax=15000],15DPrepA [!otf] [blcoal] [spbf] [Bmax=15000],15DPrepB [!otf] [blcoal] [spbf] [Bmax=15000],15DPrepC [!otf] [blcoal] [spbf] [Bmax=15000],22ICAL [!otf] [blcoal] [spbf],22DPrepA [!otf] [blcoal] [spbf],22DPrepB [!otf] [blcoal] [spbf],27ICAL [!otf] [blcoal] [spbf] [Bmax=50000],27DPrepA [!otf] [blcoal] [spbf] [Bmax=50000],27DPrepB [!otf] [blcoal] [spbf] [Bmax=50000],32ICAL [!otf] [blcoal] [spbf] [Bmax=20000],32DPrepB [!otf] [blcoal] [spbf] [Bmax=20000],37aICAL [!otf] [blcoal] [spbf],37aDPrepA [!otf] [blcoal] [spbf],37aDPrepB [!otf] [blcoal] [spbf],37bICAL [!otf] [blcoal] [spbf],37bDPrepA [!otf] [blcoal] [spbf],37bDPrepB [!otf] [blcoal] [spbf],37cICAL [!otf] [blcoal] [spbf] [Bmax=95000],37cDPrepA [!otf] [blcoal] [spbf] [Bmax=95000],37cDPrepB [!otf] [blcoal] [spbf] [Bmax=95000],38aICAL [!otf] [blcoal] [spbf],38aDPrepA [!otf] [blcoal] [spbf],38aDPrepB [!otf] [blcoal] [spbf],38bICAL [!otf] [blcoal] [spbf],38bDPrepA [!otf] [blcoal] [spbf],38bDPrepB [!otf] [blcoal] [spbf]
Visibilities pred7 [1/s],,,6212656.336739426,495393215.1353213,6704745.990194433,495393215.1353213,,,,,,,,,,,,,,,,,,,,,,,,,7309735.630606024,22560725.281398572,22560725.281398572,,,,,,4693363.563614301,7822187.717989076,68442638.40578821,10559900.894514984,7822187.717989076,68442638.40578821,14783794.402442914,68442638.40578821,68442638.40578821,27438845.461917926,57163929.21354139,57163929.21354139,18521263.393653788,57163929.21354139,57163929.21354139
Visibilities pred8 [1/s],,,2885117.415628619,156858909.7132084,3566547.826368484,156858909.7132084,,,,,,,,,,,,,,,,,,,,,,,,,3703216.3463683575,8572200.799852682,8572200.799852682,,,,,,2292797.0490677897,4160964.4218790983,26005551.376176804,4814810.302112063,4160964.4218790983,26005551.376176804,7021571.898381179,26005551.376176804,26005551.376176804,10425687.79268989,21720077.7258466,21720077.7258466,9383137.04346221,21720077.7258466,21720077.7258466
Visibilities pred9 [1/s],,,3965308.254962206,137193016.99216768,4765720.8937347615,137193016.99216768,,,,,,,,,,,,,,,,,,,,,,,,,3958681.1618062654,18327123.937945276,18327123.937945276,,,,,,2859448.4396927357,5559997.492158848,55599141.81844076,6433689.564506442,5559997.492158848,55599141.81844076,1620607.1462675105,6002189.549808466,6002189.549808466,16717356.321762979,46436916.91469366,46436916.91469366,10030429.562601425,46436916.91469366,46436916.91469366
Visibilities pred10 [1/s],,,391853.12836589164,9832946.63164279,403672.5791156481,9832946.63164279,,,,,,,,,,,,,,,,,,,,,,,,,502971.1237207056,1552372.5816993127,1552372.5816993127,,,,,,290645.56175410585,470950.50789571204,4709445.368390764,726607.2699162776,470950.50789571204,4709445.368390764,,,,1416018.7250512568,3933372.1611527153,3933372.1611527153,1274418.5479127846,3933372.1611527153,3933372.1611527153
Visibilities pred11 [1/s],,,232527.14258117645,4214119.9733702345,266156.9809855564,4214119.9733702345,,,,,,,,,,,,,,,,,,,,,,,,,248721.5326627335,767655.8672308879,767655.8672308879,,,,,,179656.6274006602,310515.94265843043,2328843.9796672305,359310.4114519165,310515.94265843043,2328843.9796672305,,,,1400455.8402069337,1945071.904603555,1945071.904603555,630205.8546826786,1945071.904603555,1945071.904603555
Visibilities bw0 [1/s],3610566.5099345464,423194095.29833394,716090.332757339,241609545.09431344,593553.7225369944,241609545.09431344,2776629.70880828,2571284.6156328795,4282493.162604078,9686144.1489792,2314603.2012381065,2571284.6156328795,4282493.162604078,9686144.1489792,2314603.2012381065,2571284.6156328795,4282493.162604078,9686144.1489792,329977.41156882973,800110.3533410244,992559.5537826391,11576477.286249842,593553.7225369944,1015950.3430569423,204338.06615205077,17282099.23155682,593553.7225369944,776969.5866982543,776969.5866982543,8147192.635389234,326460.5604529313,784888.6440528558,985969.6387657713,1741758.0563496475,1741758.0563496475,1741758.0563496475,5476886.68607576,5476886.68607576,593553.7225369944,573558.2324082683,2437794.6726493896,663639.3355268477,573558.2324082683,2437794.6726493896,774193.4141382019,2437794.6726493896,2437794.6726493896,1043666.7188045931,1988726.47989869,1988726.47989869,839706.3426737391,1988726.47989869,1988726.47989869
Visibilities bw1 [1/s],1948188.6617438558,158712256.14297408,88398.3822263178,30497742.32640041,61062.7683399685,30497742.32640041,1498309.116922096,1387412.7335039307,2311549.18583352,6238477.533916785,1248792.2477435197,1387412.7335039307,2311549.18583352,6238477.533916785,1248792.2477435197,1387412.7335039307,2311549.18583352,6238477.533916785,61112.86681122817,148189.11920900785,148189.11920900785,1429501.8087744215,54670.074543690476,203845.74417932407,27335.03727184524,2055012.0060082057,64278.61767934155,153496.73233838324,153496.73233838324,1073111.8579621383,60013.66413021813,143698.96361727323,143698.96361727323,322592.71539145755,322592.71539145755,322592.71539145755,966078.3365484156,966078.3365484156,54632.257410250764,72257.05382601058,451507.3894423598,97542.17331012468,72257.05382601058,451507.3894423598,131300.8370506066,451507.3894423598,451507.3894423598,194945.1696835073,377104.16499675135,377104.16499675135,155516.66327813786,377104.16499675135,377104.16499675135
Visibilities bw2 [1/s],3988616.360699523,325080391.118371,66100.25491938693,23326643.91271687,61170.674813298356,23326643.91271687,3067655.618094299,2840513.5293869544,7513276.5548902005,25552329.192554448,2556585.9151756396,2840513.5293869544,7513276.5548902005,25552329.192554448,2556585.9151756396,2840513.5293869544,7513276.5548902005,25552329.192554448,62839.76232342034,155150.26571286368,155150.26571286368,1122532.0251761735,40885.978675776205,203258.57389392328,20442.989337888106,1728986.5612418326,51505.60391483945,143488.56800991428,143488.56800991428,752386.513112494,61199.49929229817,148402.25252641633,148402.25252641633,334035.04365990317,334035.04365990317,334035.04365990317,1011461.3236715904,1011461.3236715904,42912.65771823925,72737.76128307858,450207.19000064774,97257.15106242638,72737.76128307858,450207.19000064774,130918.64937161913,450207.19000064774,450207.19000064774,196056.52192063633,376017.9501183044,376017.9501183044,155065.56652426175,376017.9501183044,376017.9501183044
Visibilities bw3 [1/s],18502694.34056612,814501371.0890816,218777.85586265312,65686758.90609715,248961.8768110334,65686758.90609715,14230700.600918198,13176787.30799331,43918796.07416283,128036064.91597702,10165196.303974409,13176787.30799331,43918796.07416283,128036064.91597702,10165196.303974409,13176787.30799331,43918796.07416283,128036064.91597702,245673.5849820245,595744.5937325673,595744.5937325673,2873635.1591620515,141622.58873620452,819494.5635906133,54949.85994367155,4647440.147544678,166622.98174879325,771352.5256007435,771352.5256007435,2696509.323934977,246737.82558179213,598325.2910600234,598325.2910600234,1296876.5905214627,1296876.5905214627,1296876.5905214627,4531107.721096022,4531107.721096022,174281.97481523294,290454.2017476618,1815139.3346248912,392103.4229052717,290454.2017476618,1815139.3346248912,527819.5994952194,1815139.3346248912,1815139.3346248912,804313.4864495109,1516023.046090397,1516023.046090397,625178.1438826927,1516023.046090397,1516023.046090397
Visibilities bw4 [1/s],28372268.931704037,624551447.5564055,872742.5718207551,161307147.9011916,970366.3459276555,161307147.9011916,21821714.121548645,20205453.943647504,101022866.22592254,196346924.55335107,18185128.719827663,20205453.943647504,101022866.22592254,196346924.55335107,18185128.719827663,20205453.943647504,101022866.22592254,196346924.55335107,1053333.584683511,2438211.5735048177,2438211.5735048177,8097336.194221758,551998.2218540107,3833094.764727136,154217.73333570082,13043121.240024522,,,,,976519.8450413927,2448773.5479409676,2448773.5479409676,5459394.861500343,5459394.861500343,5459394.861500343,6358200.2433016645,6358200.2433016645,679276.3165744379,1132090.3420038933,7428853.120970112,1528299.1589906237,1132090.3420038933,7428853.120970112,2139589.800675709,7428853.120970112,7428853.120970112,3249037.4920084886,6204650.944006526,6204650.944006526,2474284.127693177,6204650.944006526,6204650.944006526
Visibilities bw5 [1/s],,,910642.7784736318,113156925.2861792,1000614.3338841355,113156925.2861792,,,,,,,,,,,,,1163764.894241717,2394535.4510295233,2394535.4510295233,7952334.0770669915,,,,,,,,,1038938.8076563288,2404908.193775761,2404908.193775761,6702000.472524097,6702000.472524097,6702000.472524097,,,710977.3894164743,1167380.1733090275,7295782.519740423,1558628.3450128695,1167380.1733090275,7295782.519740423,2148997.04772652,7295782.519740423,7295782.519740423,3290535.0500268927,6093507.554281698,6093507.554281698,2632441.0465286477,6093507.554281698,6093507.554281698
Visibilities bw6 [1/s],,,3495841.4732834417,259168378.32160106,4001355.352347794,259168378.32160106,,,,,,,,,,,,,507696.39930947736,1566939.8485684295,1566939.8485684295,5203870.390054841,,,,,,,,,3739189.8124173456,11540578.747011721,11540578.747011721,16446153.148886474,16446153.148886474,16446153.148886474,,,2700948.71151898,4668237.333820918,35010730.818072766,6077003.45437521,4668237.333820918,35010730.818072766,8102621.311450598,35010730.818072766,35010730.818072766,12632338.080090325,29241291.634968936,29241291.634968936,9474283.349799573,29241291.634968936,29241291.634968936
Visibilities bw7 [1/s],,,6212656.336739426,495393215.1353213,6704745.990194433,495393215.1353213,,,,,,,,,,,,,,,,,,,,,,,,,7309735.630606024,22560725.281398572,22560725.281398572,,,,,,4693363.563614301,7822187.717989076,68442638.40578821,10559900.894514984,7822187.717989076,68442638.40578821,14783794.402442914,68442638.40578821,68442638.40578821,27438845.461917926,57163929.21354139,57163929.21354139,18521263.393653788,57163929.21354139,57163929.21354139
Visibilities bw8 [1/s],,,2885117.415628619,156858909.7132084,3566547.826368484,156858909.7132084,,,,,,,,,,,,,,,,,,,,,,,,,3703216.3463683575,8572200.799852682,8572200.799852682,,,,,,2292797.0490677897,4160964.4218790983,26005551.376176804,4814810.302112063,4160964.4218790983,26005551.376176804,7021571.898381179,26005551.376176804,26005551.376176804,10425687.79268989,21720077.7258466,21720077.7258466,9383137.04346221,21720077.7258466,21720077.7258466
Visibilities bw9 [1/s],,,3965308.254962206,137193016.99216768,4765720.8937347615,137193016.99216768,,,,,,,,,,,,,,,,,,,,,,,,,3958681.1618062654,18327123.937945276,18327123.937945276,,,,,,2859448.4396927357,5559997.492158848,55599141.81844076,6433689.564506442,5559997.492158848,55599141.81844076,1620607.1462675105,6002189.549808466,6002189.549808466,16717356.321762979,46436916.91469366,46436916.91469366,10030429.562601425,46436916.91469366,46436916.91469366
Visibilities bw10 [1/s],,,391853.12836589164,9832946.63164279,403672.5791156481,9832946.63164279,,,,,,,,,,,,,,,,,,,,,,,,,502971.1237207056,1552372.5816993127,1552372.5816993127,,,,,,290645.56175410585,470950.50789571204,4709445.368390764,726607.2699162776,470950.50789571204,4709445.368390764,,,,1416018.7250512568,3933372.1611527153,3933372.1611527153,1274418.5479127846,3933372.1611527153,3933372.1611527153
Visibilities bw11 [1/s],,,232527.14258117645,4214119.9733702345,266156.9809855564,4214119.9733702345,,,,,,,,,,,,,,,,,,,,,,,,,248721.5326627335,767655.8672308879,767655.8672308879,,,,,,179656.6274006602,310515.94265843043,2328843.9796672305,359310.4114519165,310515.94265843043,2328843.9796672305,,,,1400455.8402069337,1945071.904603555,1945071.904603555,630205.8546826786,1945071.904603555,1945071.904603555
-- Geometry --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],0.09440398684029373,0.09440398684029373,0.8580149336490602,0.8580149336490602,17.04886816211769,17.04886816211769,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,1.4098307776762335,1.4098307776762335,1.4098307776762335,1.4098307776762335,2.179085545775391,2.179085545775391,2.179085545775391,2.203297607395118,2.3177546259610975,2.3177546259610975,2.3177546259610975,2.3206973331141834,17.82888173816229,17.82888173816229,17.82888173816229,1.961176991197852,1.961176991197852,1.961176991197852,0.8580149336490602,0.8580149336490602,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093
Delta W earth1 [lambda],0.37761594736117493,0.37761594736117493,1.9305336007103855,1.9305336007103855,38.3599533647648,38.3599533647648,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,3.172119249771525,3.172119249771525,3.172119249771525,3.172119249771525,4.902942477994629,4.902942477994629,4.902942477994629,4.957419616639014,5.214947908412469,5.214947908412469,5.214947908412469,5.221568999506912,40.11498391086515,40.11498391086515,40.11498391086515,4.412648230195167,4.412648230195167,4.412648230195167,1.9305336007103855,1.9305336007103855,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221
Delta W earth2 [lambda],1.5104637894446997,1.5104637894446997,3.432059734596241,3.432059734596241,68.19547264847075,68.19547264847075,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,5.639323110704934,5.639323110704934,5.639323110704934,5.639323110704934,8.716342183101563,8.716342183101563,8.716342183101563,8.813190429580471,9.27101850384439,9.27101850384439,9.27101850384439,9.282789332456733,71.31552695264917,71.31552695264917,71.31552695264917,7.844707964791408,7.844707964791408,7.844707964791408,3.432059734596241,3.432059734596241,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837
Delta W earth3 [lambda],6.041855157778799,6.041855157778799,7.722134402841542,7.722134402841542,153.4398134590592,153.4398134590592,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,12.6884769990861,12.6884769990861,12.6884769990861,12.6884769990861,19.611769911978516,19.611769911978516,19.611769911978516,19.829678466556057,20.859791633649877,20.859791633649877,20.859791633649877,20.88627599802765,160.4599356434606,160.4599356434606,160.4599356434606,17.650592920780667,17.650592920780667,17.650592920780667,7.722134402841542,7.722134402841542,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,125.84219026852884,125.84219026852884,125.84219026852884,125.84219026852884,125.84219026852884,125.84219026852884
Delta W earth4 [lambda],24.167420631115196,24.167420631115196,21.450373341226506,21.450373341226506,426.22170405294224,426.22170405294224,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,35.245769441905836,35.245769441905836,35.245769441905836,35.245769441905836,54.47713864438477,54.47713864438477,54.47713864438477,55.08244018487794,,,,,445.72204345405726,445.72204345405726,445.72204345405726,49.0294247799463,49.0294247799463,49.0294247799463,13.728238938384964,13.728238938384964,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,349.5616396348023,349.5616396348023,349.5616396348023,349.5616396348023,349.5616396348023,349.5616396348023
Delta W earth5 [lambda],,,42.04273174880395,42.04273174880395,835.3945399437669,835.3945399437669,,,,,,,,,,,,,69.08170810613544,69.08170810613544,69.08170810613544,69.08170810613544,,,,,,,,,873.6152051699522,873.6152051699522,873.6152051699522,96.09767256869475,96.09767256869475,96.09767256869475,,,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,685.1408136842125,685.1408136842125,685.1408136842125,685.1408136842125,685.1408136842125,685.1408136842125
Delta W earth6 [lambda],,,103.81980697153628,103.81980697153628,2062.9130476162404,2062.9130476162404,,,,,,,,,,,,,90.22916977127895,90.22916977127895,90.22916977127895,90.22916977127895,,,,,,,,,2157.294690317637,2157.294690317637,2157.294690317637,196.1176991197852,196.1176991197852,196.1176991197852,,,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,1691.8783358324433,1691.8783358324433,1691.8783358324433,1691.8783358324433,1691.8783358324433,1691.8783358324433
Delta W earth7 [lambda],,,193.05336007103855,193.05336007103855,3835.99533647648,3835.99533647648,,,,,,,,,,,,,,,,,,,,,,,,,4011.4983910865153,4011.4983910865153,4011.4983910865153,,,,,,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,3146.0547567132207,3146.0547567132207,3146.0547567132207,3146.0547567132207,3146.0547567132207,3146.0547567132207
Delta W earth8 [lambda],,,277.99683850229553,277.99683850229553,5523.833284526131,5523.833284526131,,,,,,,,,,,,,,,,,,,,,,,,,5776.557683164582,5776.557683164582,5776.557683164582,,,,,,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,4530.318849667038,4530.318849667038,4530.318849667038,4530.318849667038,4530.318849667038,4530.318849667038
Delta W earth9 [lambda],,,415.2792278861451,415.2792278861451,8251.652190464962,8251.652190464962,,,,,,,,,,,,,,,,,,,,,,,,,8629.178761270548,8629.178761270548,8629.178761270548,,,,,,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,742.9471108013097,742.9471108013097,742.9471108013097,6767.513343329773,6767.513343329773,6767.513343329773,6767.513343329773,6767.513343329773,6767.513343329773
