Frequency Max [GHz],0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Pipeline,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Predict rate9 [M/s],,,,,,,,,,,13.58092678614389,81.42101059550902,13.58092678614389,62.87430960548697,62.87430960548697,62.87430960548697,137.19301699216768,,,13.481575998907163,80.82537764714635,13.481575998907163,62.41435458937554,62.41435458937554,62.41435458937554,137.19301699216768,,,7.256009142848868,81.2024091072329,7.256009142848868,6.270647096646702,6.270647096646702,62.70550287470003,68.59650849608384,,,8.32703234635699,137.19301699216768,8.32703234635699,11.565290761680272,11.565290761680272,11.565290761680272,45.7310056640559,
Predict rate10 [M/s],,,,,,,,,,,1.7255277519662555,6.896651805049045,1.7255277519662555,5.325677749491916,5.325677749491916,5.325677749491916,9.832946631642791,,,1.712904712147213,6.84619955091079,1.712904712147213,5.286717917233302,5.286717917233302,5.286717917233302,9.832946631642791,,,0.8194782184930429,6.878135472372909,0.8194782184930429,0.5311448602162027,0.5311448602162027,5.311379216556937,4.916473315821396,,,0.8816592368683189,9.832946631642791,0.8816592368683189,0.9796190849624582,0.9796190849624582,0.9796190849624582,4.916473315821396,
Predict rate11 [M/s],,,,,,,,,,,0.8532814232315515,3.4104291445119763,0.8532814232315515,2.633573844429018,2.633573844429018,2.633573844429018,4.214119973370234,,,0.8470392708477125,3.3854802480240154,0.8470392708477125,2.614308013658449,2.614308013658449,2.614308013658449,4.214119973370234,,,0.405235463919219,3.4012727237214815,0.405235463919219,0.35020438473822746,0.35020438473822746,2.626503148849198,4.214119973370234,,,0.5813119696057458,4.214119973370234,0.5813119696057458,0.6459008802550613,0.6459008802550613,0.6459008802550613,2.107059986685117,
Backward rate0 [M/s],(undefined),16.389469820536025,11.682074019708667,16.389469820536025,6.0134262097460445,6.0134262097460445,6.0134262097460445,423.19409529833393,(undefined),(undefined),1.119973840604985,4.543413289428314,1.119973840604985,2.692686786225209,2.692686786225209,2.692686786225209,241.60954509431343,(undefined),(undefined),1.1117809651851505,4.510176601060428,1.1117809651851505,2.6729889163956777,2.6729889163956777,2.6729889163956777,241.60954509431343,(undefined),(undefined),0.7484724278543777,4.531215191420962,0.7484724278543777,0.6468777088714562,0.6468777088714562,2.685457529826584,94.18677181642725,(undefined),(undefined),1.0738096213339792,8.618280913394102,1.0738096213339792,1.1930493754058975,1.1930493754058975,1.1930493754058975,77.79827352036894,(undefined)
Backward rate1 [M/s],,19.468696239167222,8.759998785250207,19.468696239167222,3.245850622990184,3.245850622990184,3.245850622990184,158.71225614297404,,,0.21056575430090216,0.8415045864383451,0.21056575430090216,0.5105893908115133,0.5105893908115133,0.5105893908115133,30.497742326400406,,,0.20902539902035439,0.8353486470379865,0.20902539902035439,0.5068542390668297,0.5068542390668297,0.5068542390668297,30.497742326400406,,,0.10646174800387588,0.8392453134038586,0.10646174800387588,0.07986354507030226,0.07986354507030226,0.5092185638821497,11.729900894769386,,,0.13257074183666756,1.6215680052416381,0.13257074183666756,0.1524791524060275,0.1524791524060275,0.1524791524060275,8.969924213647179,
Backward rate2 [M/s],,99.68163174383051,35.88029009159149,99.68163174383051,10.550057015961476,10.550057015961476,10.550057015961476,325.080391118371,,,0.20995485905484335,0.8653090897833121,0.20995485905484335,0.5091184930316717,0.5091184930316717,0.5091184930316717,23.326643912716865,,,0.20841896437274396,0.8589789939003816,0.20841896437274396,0.5053940884167981,0.5053940884167981,0.5053940884167981,23.326643912716865,,,0.10730421654163996,0.8629859000703973,0.10730421654163996,0.07899699429322626,0.07899699429322626,0.5077516103550267,8.848037346202949,,,0.12208784642993407,1.5916478459725263,0.12208784642993407,0.15130085607865887,0.15130085607865887,0.15130085607865887,6.752449553681198,
Backward rate3 [M/s],,499.48810943284997,179.78679083465977,499.48810943284997,61.670274123115625,61.670274123115625,61.670274123115625,814.5013710890815,,,0.8464749214486749,3.3830475270380354,0.8464749214486749,2.052654878188195,2.052654878188195,2.052654878188195,65.68675890609715,,,0.8402826220263266,3.3582990604291743,0.8402826220263266,2.0376388373900576,2.0376388373900576,2.0376388373900576,65.68675890609715,,,0.42795658626336813,3.373964665622864,0.42795658626336813,0.3184806527387219,0.3184806527387219,2.047143885575015,24.20038486014106,,,0.5008354418681944,6.845054823696872,0.5008354418681944,0.6219399163912926,0.6219399163912926,0.6219399163912926,18.392292493707206,
Backward rate4 [M/s],,382.9931794459977,275.7081288869044,382.9931794459977,141.85516357533254,141.85516357533254,141.85516357533254,624.5514475564055,,,3.3501147070658828,14.505272485727463,3.3501147070658828,8.400929817462842,8.400929817462842,8.400929817462842,161.3071479011916,,,3.3256071847595847,14.399159868234873,3.3256071847595847,8.339473281552225,8.339473281552225,8.339473281552225,161.3071479011916,,,1.7236419699598085,14.46632840795347,1.7236419699598085,1.2767914573266206,1.2767914573266206,8.378374836155114,58.6571446913424,,,1.9350942332781091,26.681016999736972,1.9350942332781091,2.4725903662639124,2.4725903662639124,2.4725903662639124,43.01523944031776,
Backward rate5 [M/s],,,,,,,,,,,3.5642542500333443,16.026166017848034,3.5642542500333443,8.250443609802856,8.250443609802856,8.250443609802856,113.15692528617919,,,3.538180157062563,15.908927268741593,3.538180157062563,8.190087874946844,8.190087874946844,8.190087874946844,113.15692528617919,,,1.757846298798754,15.983138571278587,1.757846298798754,1.3165906978317128,1.3165906978317128,8.228292630134744,42.43384698231719,,,2.048857340557744,29.478560463321863,2.048857340557744,2.60170102609267,2.60170102609267,2.60170102609267,33.947077585853755,
Backward rate6 [M/s],,,,,,,,,,,12.827922075030902,51.270634163562086,12.827922075030902,39.59190948687863,39.59190948687863,39.59190948687863,259.16837832160104,,,12.734080005240365,50.895565661609155,12.734080005240365,39.302276406367376,39.302276406367376,39.302276406367376,259.16837832160104,,,6.853737821062328,51.132981381758725,6.853737821062328,5.264910839069372,5.264910839069372,39.485612106382916,103.66735132864041,,,7.8654260965192675,141.4609973191109,7.8654260965192675,9.710348953550882,9.710348953550882,9.710348953550882,86.38945944053368,
Backward rate7 [M/s],,,,,,,,,,,25.07728498277903,100.22930733316619,25.07728498277903,77.398393213358,77.398393213358,77.398393213358,495.3932151353213,,,24.8938331217544,99.49608310962306,24.8938331217544,76.83218797689753,76.83218797689753,76.83218797689753,495.3932151353213,,,11.909614239654076,99.96020887772379,11.909614239654076,8.82198168523515,8.82198168523515,77.19059190331043,165.13107171177379,,,14.643821927998715,184.36206265823304,14.643821927998715,18.98265523714316,18.98265523714316,18.98265523714316,99.07864302706426,
Backward rate8 [M/s],,,,,,,,,,,12.704510896635977,76.16654658217435,12.704510896635977,29.408389129324217,29.408389129324217,29.408389129324217,156.8589097132084,,,12.61157152903064,75.60935259839299,12.61157152903064,29.19325303795105,29.19325303795105,29.19325303795105,156.8589097132084,,,5.4302142349730405,75.96205246495926,5.4302142349730405,3.9106648131196757,3.9106648131196757,29.329432668524706,52.286303237736135,,,6.4914046256103894,140.10096374959468,6.4914046256103894,8.655176951414868,8.655176951414868,8.655176951414868,39.2147274283021,
Backward rate9 [M/s],,,,,,,,,,,13.58092678614389,81.42101059550902,13.58092678614389,62.87430960548697,62.87430960548697,62.87430960548697,137.19301699216768,,,13.481575998907163,80.82537764714635,13.481575998907163,62.41435458937554,62.41435458937554,62.41435458937554,137.19301699216768,,,7.256009142848868,81.2024091072329,7.256009142848868,6.270647096646702,6.270647096646702,62.70550287470003,68.59650849608384,,,8.32703234635699,137.19301699216768,8.32703234635699,11.565290761680272,11.565290761680272,11.565290761680272,45.7310056640559,
Backward rate10 [M/s],,,,,,,,,,,1.7255277519662555,6.896651805049045,1.7255277519662555,5.325677749491916,5.325677749491916,5.325677749491916,9.832946631642791,,,1.712904712147213,6.84619955091079,1.712904712147213,5.286717917233302,5.286717917233302,5.286717917233302,9.832946631642791,,,0.8194782184930429,6.878135472372909,0.8194782184930429,0.5311448602162027,0.5311448602162027,5.311379216556937,4.916473315821396,,,0.8816592368683189,9.832946631642791,0.8816592368683189,0.9796190849624582,0.9796190849624582,0.9796190849624582,4.916473315821396,
Backward rate11 [M/s],,,,,,,,,,,0.8532814232315515,3.4104291445119763,0.8532814232315515,2.633573844429018,2.633573844429018,2.633573844429018,4.214119973370234,,,0.8470392708477125,3.3854802480240154,0.8470392708477125,2.614308013658449,2.614308013658449,2.614308013658449,4.214119973370234,,,0.405235463919219,3.4012727237214815,0.405235463919219,0.35020438473822746,0.35020438473822746,2.626503148849198,4.214119973370234,,,0.5813119696057458,4.214119973370234,0.5813119696057458,0.6459008802550613,0.6459008802550613,0.6459008802550613,2.107059986685117,
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,0.09440398684029373,17.628526231709525,17.628526231709525,17.628526231709525,17.628526231709525,17.628526231709525,17.628526231709525,17.628526231709525,17.628526231709525,17.628526231709525,9.755982233566922,9.755982233566922,9.755982233566922,9.755982233566922,9.755982233566922,9.755982233566922,9.755982233566922,9.755982233566922,9.755982233566922,2.016659243101358,2.016659243101358,2.016659243101358,2.016659243101358,2.016659243101358,2.016659243101358,2.016659243101358,2.016659243101358,2.016659243101358,0.8580149336490602,0.8580149336490602,0.8580149336490602,0.8580149336490602,0.8580149336490602,0.8580149336490602,0.8580149336490602,0.8580149336490602,0.8580149336490602
Delta W earth1 [lambda],0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,0.37761594736117493,39.66418402134643,39.66418402134643,39.66418402134643,39.66418402134643,39.66418402134643,39.66418402134643,39.66418402134643,39.66418402134643,39.66418402134643,21.950960025525575,21.950960025525575,21.950960025525575,21.950960025525575,21.950960025525575,21.950960025525575,21.950960025525575,21.950960025525575,21.950960025525575,4.537483296978055,4.537483296978055,4.537483296978055,4.537483296978055,4.537483296978055,4.537483296978055,4.537483296978055,4.537483296978055,4.537483296978055,1.9305336007103855,1.9305336007103855,1.9305336007103855,1.9305336007103855,1.9305336007103855,1.9305336007103855,1.9305336007103855,1.9305336007103855,1.9305336007103855
Delta W earth2 [lambda],1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,70.5141049268381,70.5141049268381,70.5141049268381,70.5141049268381,70.5141049268381,70.5141049268381,70.5141049268381,70.5141049268381,70.5141049268381,39.02392893426769,39.02392893426769,39.02392893426769,39.02392893426769,39.02392893426769,39.02392893426769,39.02392893426769,39.02392893426769,39.02392893426769,8.066636972405432,8.066636972405432,8.066636972405432,8.066636972405432,8.066636972405432,8.066636972405432,8.066636972405432,8.066636972405432,8.066636972405432,3.432059734596241,3.432059734596241,3.432059734596241,3.432059734596241,3.432059734596241,3.432059734596241,3.432059734596241,3.432059734596241,3.432059734596241
Delta W earth3 [lambda],6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,158.65673608538572,158.65673608538572,158.65673608538572,158.65673608538572,158.65673608538572,158.65673608538572,158.65673608538572,158.65673608538572,158.65673608538572,87.8038401021023,87.8038401021023,87.8038401021023,87.8038401021023,87.8038401021023,87.8038401021023,87.8038401021023,87.8038401021023,87.8038401021023,18.14993318791222,18.14993318791222,18.14993318791222,18.14993318791222,18.14993318791222,18.14993318791222,18.14993318791222,18.14993318791222,18.14993318791222,7.722134402841542,7.722134402841542,7.722134402841542,7.722134402841542,7.722134402841542,7.722134402841542,7.722134402841542,7.722134402841542,7.722134402841542
Delta W earth4 [lambda],24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,440.7131557927381,440.7131557927381,440.7131557927381,440.7131557927381,440.7131557927381,440.7131557927381,440.7131557927381,440.7131557927381,440.7131557927381,243.89955583917305,243.89955583917305,243.89955583917305,243.89955583917305,243.89955583917305,243.89955583917305,243.89955583917305,243.89955583917305,243.89955583917305,50.416481077533945,50.416481077533945,50.416481077533945,50.416481077533945,50.416481077533945,50.416481077533945,50.416481077533945,50.416481077533945,50.416481077533945,21.450373341226506,21.450373341226506,21.450373341226506,21.450373341226506,21.450373341226506,21.450373341226506,21.450373341226506,21.450373341226506,21.450373341226506
Delta W earth5 [lambda],,,,,,,,,,863.7977853537667,863.7977853537667,863.7977853537667,863.7977853537667,863.7977853537667,863.7977853537667,863.7977853537667,863.7977853537667,863.7977853537667,478.04312944477914,478.04312944477914,478.04312944477914,478.04312944477914,478.04312944477914,478.04312944477914,478.04312944477914,478.04312944477914,478.04312944477914,98.81630291196653,98.81630291196653,98.81630291196653,98.81630291196653,98.81630291196653,98.81630291196653,98.81630291196653,98.81630291196653,98.81630291196653,42.04273174880395,42.04273174880395,42.04273174880395,42.04273174880395,42.04273174880395,42.04273174880395,42.04273174880395,42.04273174880395,42.04273174880395
Delta W earth6 [lambda],,,,,,,,,,2133.0516740368525,2133.0516740368525,2133.0516740368525,2133.0516740368525,2133.0516740368525,2133.0516740368525,2133.0516740368525,2133.0516740368525,2133.0516740368525,1180.4738502615976,1180.4738502615976,1180.4738502615976,1180.4738502615976,1180.4738502615976,1180.4738502615976,1180.4738502615976,1180.4738502615976,1180.4738502615976,244.01576841526432,244.01576841526432,244.01576841526432,244.01576841526432,244.01576841526432,244.01576841526432,244.01576841526432,244.01576841526432,244.01576841526432,103.81980697153628,103.81980697153628,103.81980697153628,103.81980697153628,103.81980697153628,103.81980697153628,103.81980697153628,103.81980697153628,103.81980697153628
Delta W earth7 [lambda],,,,,,,,,,3966.418402134643,3966.418402134643,3966.418402134643,3966.418402134643,3966.418402134643,3966.418402134643,3966.418402134643,3966.418402134643,3966.418402134643,2195.0960025525574,2195.0960025525574,2195.0960025525574,2195.0960025525574,2195.0960025525574,2195.0960025525574,2195.0960025525574,2195.0960025525574,2195.0960025525574,453.7483296978055,453.7483296978055,453.7483296978055,453.7483296978055,453.7483296978055,453.7483296978055,453.7483296978055,453.7483296978055,453.7483296978055,193.05336007103855,193.05336007103855,193.05336007103855,193.05336007103855,193.05336007103855,193.05336007103855,193.05336007103855,193.05336007103855,193.05336007103855
Delta W earth8 [lambda],,,,,,,,,,5711.642499073886,5711.642499073886,5711.642499073886,5711.642499073886,5711.642499073886,5711.642499073886,5711.642499073886,5711.642499073886,5711.642499073886,3160.9382436756828,3160.9382436756828,3160.9382436756828,3160.9382436756828,3160.9382436756828,3160.9382436756828,3160.9382436756828,3160.9382436756828,3160.9382436756828,653.3975947648399,653.3975947648399,653.3975947648399,653.3975947648399,653.3975947648399,653.3975947648399,653.3975947648399,653.3975947648399,653.3975947648399,277.99683850229553,277.99683850229553,277.99683850229553,277.99683850229553,277.99683850229553,277.99683850229553,277.99683850229553,277.99683850229553,277.99683850229553
Delta W earth9 [lambda],,,,,,,,,,8532.20669614741,8532.20669614741,8532.20669614741,8532.20669614741,8532.20669614741,8532.20669614741,8532.20669614741,8532.20669614741,8532.20669614741,4721.89540104639,4721.89540104639,4721.89540104639,4721.89540104639,4721.89540104639,4721.89540104639,4721.89540104639,4721.89540104639,4721.89540104639,976.0630736610573,976.0630736610573,976.0630736610573,976.0630736610573,976.0630736610573,976.0630736610573,976.0630736610573,976.0630736610573,976.0630736610573,415.2792278861451,415.2792278861451,415.2792278861451,415.2792278861451,415.2792278861451,415.2792278861451,415.2792278861451,415.2792278861451,415.2792278861451
