Pipeline,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Oversampling used bw3 [1],22.04777546639375,63.941590700315174,20.854411000093876,63.999522701575266,57.92619692059583,64.0,22.98386111538673,22.075996205893574,47.22702858570857,7.279669134969517,17.85332462836159,22.075996205893574,47.22702858570857,7.279669134969517,17.85332462836159,22.075996205893574,47.22702858570857,7.279669134969517,36.705768753626714,54.99411640116929,55.69271819983951,58.324089325839225,63.934837513920236,57.737594354480926,8.202637260114074,63.998816842061906,63.96240089854946,59.267104186215256,59.70417459567663,63.9987050883261,38.9042985055264,57.44755190647844,57.462826218474504,55.8252147994871,56.189100813524824,56.544641182984016,59.041854901027335,59.757434811412956,31.503955728313777,20.280358859625935,57.56204942769486,25.472624655723358,20.280358859625935,57.56204942769486,31.749422626245995,57.62210833029352,57.76955512145957,45.43989825914797,57.76405693729598,57.87054714252803,39.58557870534051,57.76405693729598,57.87054714252803
Oversampling used bw4 [1],50.23299093668744,63.99709660774092,42.539187932084914,63.999982555593164,63.92554183691438,64.0,50.72635209396711,49.845700203512656,63.680198799263316,21.849357010529552,48.419160121982436,49.845700203512656,63.680198799263316,21.849357010529552,48.419160121982436,49.845700203512656,63.680198799263316,21.849357010529552,57.945230796736006,63.564946712269695,63.69422029274764,61.974683698500165,63.99999942337494,63.93920021061654,13.047718550576725,63.99998989030349,,,,,59.07320323825563,63.90197225785071,63.90329963965713,63.766893490764524,63.81442862775381,63.85499764987481,63.48063397865955,63.657066267378276,54.162328810194715,41.261837138563685,63.88457592459742,47.55679798133104,41.261837138563685,63.88457592459742,54.567415003037866,63.890183132521074,63.90325886812015,62.02971365107473,63.9146439275271,63.922884238077856,59.520806212246924,63.9146439275271,63.922884238077856
Oversampling used bw5 [1],,,56.389148552764404,63.99999321436706,63.99972802218239,64.0,,,,,,,,,,,,,63.27500719609388,63.98226695843599,63.99176858759076,63.59893240443982,,,,,,,,,63.57430933692396,63.99949422472882,63.99951344673046,63.999564705713524,63.99977898341663,63.99989776517631,,,61.86695882240589,55.12173622744096,63.998999614316624,58.88543270284818,55.12173622744096,63.998999614316624,62.102062681930036,63.99912003268208,63.99936927720342,63.905584331055245,63.999604579873576,63.999704551102845,63.661541478753854,63.999604579873576,63.999704551102845
Oversampling used bw6 [1],,,63.5278589050635,63.99999833444713,63.99999999999999,64.0,,,,,,,,,,,,,63.51305668231897,63.999884486534405,63.99997040943999,63.976052250727065,,,,,,,,,63.99889727357119,63.999999999999936,63.99999999999995,63.999999985985035,63.999999997434394,63.9999999996706,,,63.966820822512645,63.51099515783051,63.999999999996646,63.82457605082137,63.51099515783051,63.999999999996646,63.978420264557656,63.99999999999806,63.99999999999955,63.99998703103403,63.99999999999997,63.99999999999999,63.999449923605,63.99999999999997,63.99999999999999
Oversampling used bw7 [1],,,63.99488053109676,63.9999999999466,64.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,63.99999993894093,64.0,64.0,,,,,,63.9998599471448,63.97895424624899,64.0,63.99645072068855,63.97895424624899,64.0,63.99994795612568,64.0,64.0,63.99999999999964,64.0,64.0,63.99999998839521,64.0,64.0
Oversampling used bw8 [1],,,63.99984867578554,63.99999999817551,64.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,63.9999999999985,64.0,64.0,,,,,,63.999999178416026,63.99983029442192,64.0,63.9998835051339,63.99983029442192,64.0,63.999999833574215,64.0,64.0,64.0,64.0,64.0,63.999999999999915,64.0,64.0
Oversampling used bw9 [1],,,63.99999946156613,63.99999994552436,64.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,63.99999999999998,64.0,64.0,,,,,,63.999999999883386,63.999999355629015,64.0,63.999999455558175,63.999999355629015,64.0,63.999999915730086,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
Oversampling used bw10 [1],,,63.99999993324813,63.99999935123504,64.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,64.0,64.0,64.0,,,,,,63.99999999998875,63.999999917307456,64.0,63.99999999989037,63.999999917307456,64.0,,,,64.0,64.0,64.0,64.0,64.0,64.0
Oversampling used bw11 [1],,,63.99999999998338,63.99999568174576,64.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,64.0,64.0,64.0,,,,,,64.0,63.999999999991815,64.0,63.999999999984944,63.999999999991815,64.0,,,,64.0,64.0,64.0,64.0,64.0,64.0
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channels predict, no-smear0",559.1337152950158,1809.0904657256951,1005.0053854489457,4576.81127226378,1034.9988790363216,1885.9751150023908,429.9899422466631,398.1901223156782,663.1885345814411,309.73104152293456,358.44033998018244,398.1901223156782,663.1885345814411,309.73104152293456,358.44033998018244,398.1901223156782,663.1885345814411,309.73104152293456,261.21149632239513,403.0540788670101,403.0540788670101,734.4434476774929,894.8544371933378,497.1909356825173,497.1909356825173,279.28085374879674,716.3789380602059,398.02881001253394,398.02881001253394,25.664246596024633,257.9547512531722,398.02881001253394,398.02881001253394,894.2545468709208,894.2545468709208,894.2545468709208,2511.6897145573553,2511.6897145573553,652.167937578682,483.15612439994436,1207.4924417886202,559.0389802377872,483.15612439994436,1207.4924417886202,652.167937578682,1207.4924417886202,1207.4924417886202,726.1926570419781,1008.5130422414231,1008.5130422414231,653.5959856457442,1008.5130422414231,1008.5130422414231
"Channels predict, no-smear1",1117.2953217949262,3617.208237988821,1507.2335084877068,6864.942273636082,1552.3826770323226,2828.8470245059593,859.2872958419088,795.6877005716108,1325.6842841487744,618.7697111728006,716.1882027630096,795.6877005716108,1325.6842841487744,618.7697111728006,716.1882027630096,795.6877005716108,1325.6842841487744,618.7697111728006,391.7711462657152,604.5350169007022,604.5350169007022,1101.6190674725092,1342.225873765601,745.7306245903046,745.7306245903046,418.90275499589205,1074.522829922399,596.9976404288616,596.9976404288616,38.494609457539404,386.88655543856316,596.9976404288616,596.9976404288616,1341.280466795748,1341.280466795748,1341.280466795748,3767.259952131288,3767.259952131288,978.1192792840136,724.6015700009231,1811.1060218133737,838.4258482659727,724.6015700009231,1811.1060218133737,978.1192792840136,1811.1060218133737,1811.1060218133737,1089.1760088165274,1512.656581147074,1512.656581147074,980.28100389151,1512.656581147074,1512.656581147074
"Channels predict, no-smear2",2233.6181120846836,7233.443651746777,2009.4616148571042,9153.073271346264,2069.7664721575957,3771.7189324319356,1717.881724030251,1590.6825558293533,2650.675602311196,1236.8466633250098,1431.683593715042,1590.6825558293533,2650.675602311196,1236.8466633250098,1431.683593715042,1590.6825558293533,2650.675602311196,1236.8466633250098,522.3307944011752,806.0159537629055,806.0159537629055,1468.7946866230889,1789.5973095663412,994.2703121075014,994.2703121075014,558.5246559695574,1432.6667211420954,795.9664696855765,795.9664696855765,51.32497229224026,515.818357835032,795.9664696855765,795.9664696855765,1788.3063841681017,1788.3063841681017,1788.3063841681017,5022.83018303477,5022.83018303477,1304.070614995905,966.0470075132783,2414.7195985996987,1117.8127093029952,966.0470075132783,2414.7195985996987,1304.070614995905,2414.7195985996987,2414.7195985996987,1452.1593566854401,2016.800117240791,2016.800117240791,1306.96601779828,2016.800117240791,2016.800117240791
"Channels predict, no-smear3",4466.26348098825,14465.914413852615,3013.917810920462,13729.335263104213,3104.5340595364714,5657.462746707873,3435.07044070933,3180.6721154882,5300.658148066288,2473.0003736767735,2862.67420802834,3180.6721154882,5300.658148066288,2473.0003736767735,2862.67420802834,3180.6721154882,5300.658148066288,2473.0003736767735,783.4500888644667,1208.9778263156445,1208.9778263156445,2203.1459242849523,2684.3401803962356,1491.3496857510963,1491.3496857510963,837.7684576434344,2148.954502933313,1193.9041270392163,1193.9041270392163,76.98569793480485,773.6819608386259,1193.9041270392163,1193.9041270392163,2682.3582163564483,2682.3582163564483,2682.3582163564483,7533.970638170312,7533.970638170312,1955.9732804231985,1448.937874446404,3621.9467489340564,1676.58642438262,1448.937874446404,3621.9467489340564,1955.9732804231985,3621.9467489340564,3621.9467489340564,2178.126048514747,3025.0871866158723,3025.0871866158723,1960.336041270146,3025.0871866158723,3025.0871866158723
"Channels predict, no-smear4",8931.554112875032,28930.855905350065,5022.83018303477,22881.859242246133,5174.069230853,9428.950373368421,6869.447804173029,6360.65115931682,10600.623194271158,4945.307697306187,5724.655352792174,6360.65115931682,10600.623194271158,4945.307697306187,5724.655352792174,6360.65115931682,10600.623194271158,4945.307697306187,1305.6886756205524,2014.9015700148148,2014.9015700148148,3671.8483988277135,4473.825921121464,2485.5084313703824,2485.5084313703824,1396.2560606678828,,,,,1289.4091646977774,1989.779440352671,1989.779440352671,4470.461877672626,4470.461877672626,4470.461877672626,10045.11108995104,10045.11108995104,3259.7786040836563,2414.7195985996987,6036.401045713372,2794.133846147517,2414.7195985996987,6036.401045713372,3259.7786040836563,6036.401045713372,6036.401045713372,3630.0594274868595,5041.661321982965,5041.661321982965,3267.07608300433,5041.661321982965,5041.661321982965
"Channels predict, no-smear5",,,7031.742547520076,32034.383219760202,7243.604400849842,13200.437999296486,,,,,,,,,,,,,1827.9272615478014,2820.825313173438,2820.825313173438,5140.550873089399,,,,,,,,,1805.136367739783,2785.654753143743,2785.654753143743,6258.565537827592,6258.565537827592,6258.565537827592,,,4563.583925007532,3380.5013190529257,8450.855341013887,3911.681264714464,3380.5013190529257,8450.855341013887,4563.583925007532,8450.855341013887,8450.855341013887,5081.992804669026,7058.235456070325,7058.235456070325,4573.8161227602595,7058.235456070325,7058.235456070325
"Channels predict, no-smear6",,,11049.567270263373,50339.43117338024,11382.674739763022,20743.413250674002,,,,,,,,,,,,,2089.046554398382,3223.787184677295,3223.787184677295,5874.902110160061,,,,,,,,,2836.590773151726,4377.4053782844685,4377.4053782844685,8940.721027388057,8940.721027388057,8940.721027388057,,,7171.194564597031,5312.06475692582,13279.763930416846,6146.776099231232,5312.06475692582,13279.763930416846,7171.194564597031,13279.763930416846,13279.763930416846,7985.859557579737,11091.383723198613,11091.383723198613,7187.29620064201,11091.383723198613,11091.383723198613
"Channels predict, no-smear7",,,15067.391990198219,68644.47912648872,15521.745078190484,28286.38850162736,,,,,,,,,,,,,,,,,,,,,,,,,3868.045178265424,5969.156003228102,5969.156003228102,,,,,,9778.805203194423,7243.628193459831,18108.672519208772,8381.87093257496,7243.628193459831,18108.672519208772,9778.805203194423,18108.672519208772,18108.672519208772,10889.726309842874,15124.531989867131,15124.531989867131,9800.776277769013,15124.531989867131,15124.531989867131
"Channels predict, no-smear8",,,18080.76052947859,82373.26509018058,18626.047831869946,33943.619939647484,,,,,,,,,,,,,,,,,,,,,,,,,4641.6359820297885,7162.968971877786,7162.968971877786,,,,,,11734.513181907203,8692.300770509128,21730.353960832246,10058.192057312433,8692.300770509128,21730.353960832246,11734.513181907203,21730.353960832246,21730.353960832246,13067.626373872286,18149.39318963302,18149.39318963302,11760.88633545867,18149.39318963302,18149.39318963302
"Channels predict, no-smear9",,,22098.585247986757,100678.31304361316,22765.118170239723,41486.595190876724,,,,,,,,,,,,,,,,,,,,,,,,,5673.090386989883,8754.719596739762,8754.719596739762,,,,,,14342.123819976441,10623.864206351685,26559.262549210896,12293.286890062791,10623.864206351685,26559.262549210896,12386.41584142446,22937.581107860868,22937.581107860868,15971.493125857936,22182.5414561377,22182.5414561377,14374.366412224357,22182.5414561377,22182.5414561377
"Channels predict, no-smear10",,,26116.409966266117,118983.36099533516,26904.188508167405,49029.57044203559,,,,,,,,,,,,,,,,,,,,,,,,,6704.544791911086,10346.470221536132,10346.470221536132,,,,,,16949.734457906787,12555.427642058461,31388.171137799913,14528.381722726019,12555.427642058461,31388.171137799913,,,,18875.359877643317,26215.689722525978,26215.689722525978,16987.846488913263,26215.689722525978,26215.689722525978
"Channels predict, no-smear11",,,30134.234684264968,137288.40894903094,31043.258846574812,56572.54569243952,,,,,,,,,,,,,,,,,,,,,,,,,7735.999196790231,11938.220846287122,11938.220846287122,,,,,,19557.345095862493,14486.991077609053,36217.0797262356,16763.476555282203,14486.991077609053,36217.0797262356,,,,21779.22662946886,30248.837988860792,30248.837988860792,19601.326565676056,30248.837988860792,30248.837988860792
"Channels backward, no-smear0",559.1337152950158,1809.0904657256951,1005.0053854489457,4576.81127226378,1034.9988790363216,1885.9751150023908,429.9899422466631,398.1901223156782,663.1885345814411,309.73104152293456,358.44033998018244,398.1901223156782,663.1885345814411,309.73104152293456,358.44033998018244,398.1901223156782,663.1885345814411,309.73104152293456,261.21149632239513,403.0540788670101,403.0540788670101,734.4434476774929,894.8544371933378,497.1909356825173,497.1909356825173,279.28085374879674,716.3789380602059,398.02881001253394,398.02881001253394,25.664246596024633,257.9547512531722,398.02881001253394,398.02881001253394,894.2545468709208,894.2545468709208,894.2545468709208,2511.6897145573553,2511.6897145573553,652.167937578682,483.15612439994436,1207.4924417886202,559.0389802377872,483.15612439994436,1207.4924417886202,652.167937578682,1207.4924417886202,1207.4924417886202,726.1926570419781,1008.5130422414231,1008.5130422414231,653.5959856457442,1008.5130422414231,1008.5130422414231
"Channels backward, no-smear1",1117.2953217949262,3617.208237988821,1507.2335084877068,6864.942273636082,1552.3826770323226,2828.8470245059593,859.2872958419088,795.6877005716108,1325.6842841487744,618.7697111728006,716.1882027630096,795.6877005716108,1325.6842841487744,618.7697111728006,716.1882027630096,795.6877005716108,1325.6842841487744,618.7697111728006,391.7711462657152,604.5350169007022,604.5350169007022,1101.6190674725092,1342.225873765601,745.7306245903046,745.7306245903046,418.90275499589205,1074.522829922399,596.9976404288616,596.9976404288616,38.494609457539404,386.88655543856316,596.9976404288616,596.9976404288616,1341.280466795748,1341.280466795748,1341.280466795748,3767.259952131288,3767.259952131288,978.1192792840136,724.6015700009231,1811.1060218133737,838.4258482659727,724.6015700009231,1811.1060218133737,978.1192792840136,1811.1060218133737,1811.1060218133737,1089.1760088165274,1512.656581147074,1512.656581147074,980.28100389151,1512.656581147074,1512.656581147074
"Channels backward, no-smear2",2233.6181120846836,7233.443651746777,2009.4616148571042,9153.073271346264,2069.7664721575957,3771.7189324319356,1717.881724030251,1590.6825558293533,2650.675602311196,1236.8466633250098,1431.683593715042,1590.6825558293533,2650.675602311196,1236.8466633250098,1431.683593715042,1590.6825558293533,2650.675602311196,1236.8466633250098,522.3307944011752,806.0159537629055,806.0159537629055,1468.7946866230889,1789.5973095663412,994.2703121075014,994.2703121075014,558.5246559695574,1432.6667211420954,795.9664696855765,795.9664696855765,51.32497229224026,515.818357835032,795.9664696855765,795.9664696855765,1788.3063841681017,1788.3063841681017,1788.3063841681017,5022.83018303477,5022.83018303477,1304.070614995905,966.0470075132783,2414.7195985996987,1117.8127093029952,966.0470075132783,2414.7195985996987,1304.070614995905,2414.7195985996987,2414.7195985996987,1452.1593566854401,2016.800117240791,2016.800117240791,1306.96601779828,2016.800117240791,2016.800117240791
"Channels backward, no-smear3",4466.26348098825,14465.914413852615,3013.917810920462,13729.335263104213,3104.5340595364714,5657.462746707873,3435.07044070933,3180.6721154882,5300.658148066288,2473.0003736767735,2862.67420802834,3180.6721154882,5300.658148066288,2473.0003736767735,2862.67420802834,3180.6721154882,5300.658148066288,2473.0003736767735,783.4500888644667,1208.9778263156445,1208.9778263156445,2203.1459242849523,2684.3401803962356,1491.3496857510963,1491.3496857510963,837.7684576434344,2148.954502933313,1193.9041270392163,1193.9041270392163,76.98569793480485,773.6819608386259,1193.9041270392163,1193.9041270392163,2682.3582163564483,2682.3582163564483,2682.3582163564483,7533.970638170312,7533.970638170312,1955.9732804231985,1448.937874446404,3621.9467489340564,1676.58642438262,1448.937874446404,3621.9467489340564,1955.9732804231985,3621.9467489340564,3621.9467489340564,2178.126048514747,3025.0871866158723,3025.0871866158723,1960.336041270146,3025.0871866158723,3025.0871866158723
"Channels backward, no-smear4",8931.554112875032,28930.855905350065,5022.83018303477,22881.859242246133,5174.069230853,9428.950373368421,6869.447804173029,6360.65115931682,10600.623194271158,4945.307697306187,5724.655352792174,6360.65115931682,10600.623194271158,4945.307697306187,5724.655352792174,6360.65115931682,10600.623194271158,4945.307697306187,1305.6886756205524,2014.9015700148148,2014.9015700148148,3671.8483988277135,4473.825921121464,2485.5084313703824,2485.5084313703824,1396.2560606678828,,,,,1289.4091646977774,1989.779440352671,1989.779440352671,4470.461877672626,4470.461877672626,4470.461877672626,10045.11108995104,10045.11108995104,3259.7786040836563,2414.7195985996987,6036.401045713372,2794.133846147517,2414.7195985996987,6036.401045713372,3259.7786040836563,6036.401045713372,6036.401045713372,3630.0594274868595,5041.661321982965,5041.661321982965,3267.07608300433,5041.661321982965,5041.661321982965
"Channels backward, no-smear5",,,7031.742547520076,32034.383219760202,7243.604400849842,13200.437999296486,,,,,,,,,,,,,1827.9272615478014,2820.825313173438,2820.825313173438,5140.550873089399,,,,,,,,,1805.136367739783,2785.654753143743,2785.654753143743,6258.565537827592,6258.565537827592,6258.565537827592,,,4563.583925007532,3380.5013190529257,8450.855341013887,3911.681264714464,3380.5013190529257,8450.855341013887,4563.583925007532,8450.855341013887,8450.855341013887,5081.992804669026,7058.235456070325,7058.235456070325,4573.8161227602595,7058.235456070325,7058.235456070325
"Channels backward, no-smear6",,,11049.567270263373,50339.43117338024,11382.674739763022,20743.413250674002,,,,,,,,,,,,,2089.046554398382,3223.787184677295,3223.787184677295,5874.902110160061,,,,,,,,,2836.590773151726,4377.4053782844685,4377.4053782844685,8940.721027388057,8940.721027388057,8940.721027388057,,,7171.194564597031,5312.06475692582,13279.763930416846,6146.776099231232,5312.06475692582,13279.763930416846,7171.194564597031,13279.763930416846,13279.763930416846,7985.859557579737,11091.383723198613,11091.383723198613,7187.29620064201,11091.383723198613,11091.383723198613
"Channels backward, no-smear7",,,15067.391990198219,68644.47912648872,15521.745078190484,28286.38850162736,,,,,,,,,,,,,,,,,,,,,,,,,3868.045178265424,5969.156003228102,5969.156003228102,,,,,,9778.805203194423,7243.628193459831,18108.672519208772,8381.87093257496,7243.628193459831,18108.672519208772,9778.805203194423,18108.672519208772,18108.672519208772,10889.726309842874,15124.531989867131,15124.531989867131,9800.776277769013,15124.531989867131,15124.531989867131
